# Selection   : all
# Cells       : 1800
# Volume      : 7.372328e+01
# Time        	maxMag(U)
0             	0.000000e+00
0.025         	3.618952e+00
0.05          	3.810746e+00
0.075         	3.850096e+00
0.1           	3.859447e+00
0.125         	3.861800e+00
0.15          	3.862447e+00
0.175         	3.862638e+00
0.2           	3.862692e+00
0.225         	3.862704e+00
0.25          	3.862701e+00
0.275         	3.862693e+00
0.3           	3.862685e+00
0.325         	3.862677e+00
0.35          	3.862671e+00
0.375         	3.862665e+00
0.4           	3.862660e+00
0.425         	3.862656e+00
0.45          	3.862652e+00
0.475         	3.862650e+00
0.5           	3.862647e+00
0.525         	3.862645e+00
0.55          	3.862644e+00
0.575         	3.862643e+00
0.6           	3.862641e+00
0.625         	3.862640e+00
0.65          	3.862640e+00
0.675         	3.862639e+00
0.7           	3.862639e+00
0.725         	3.862638e+00
0.75          	3.862637e+00
0.775         	3.862637e+00
0.8           	3.862637e+00
0.825         	3.862637e+00
0.85          	3.862637e+00
0.875         	3.862637e+00
0.9           	3.862636e+00
0.925         	3.862636e+00
0.95          	3.862636e+00
0.975         	3.862636e+00
1             	3.862636e+00
