# Selection   : all
# Cells       : 1800
# Volume      : 7.372328e+01
# Time        	minMag(U)
0             	0.000000e+00
0.025         	1.259582e-02
0.05          	6.361838e-03
0.075         	5.944821e-03
0.1           	6.570935e-03
0.125         	3.311700e-03
0.15          	4.333028e-03
0.175         	6.044758e-03
0.2           	7.116971e-03
0.225         	7.730251e-03
0.25          	8.077482e-03
0.275         	8.265610e-03
0.3           	8.357484e-03
0.325         	8.389513e-03
0.35          	8.383523e-03
0.375         	8.353507e-03
0.4           	8.308941e-03
0.425         	8.256405e-03
0.45          	8.200612e-03
0.475         	8.144762e-03
0.5           	8.090796e-03
0.525         	8.039954e-03
0.55          	7.992889e-03
0.575         	7.949868e-03
0.6           	7.910942e-03
0.625         	7.875905e-03
0.65          	7.844607e-03
0.675         	7.816787e-03
0.7           	7.792158e-03
0.725         	7.770432e-03
0.75          	7.751095e-03
0.775         	7.734273e-03
0.8           	7.719529e-03
0.825         	7.706630e-03
0.85          	7.695360e-03
0.875         	7.685526e-03
0.9           	7.676990e-03
0.925         	7.669419e-03
0.95          	7.662845e-03
0.975         	7.657162e-03
1             	7.652074e-03
