# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0025        	((6.602742e+03 1.283332e+00 -9.740726e-16) (7.906082e+00 5.080036e-04 -7.221378e-19)) ((7.722828e-18 -3.057092e-16 -4.004426e-04) (2.405992e-18 2.163641e-18 -2.081995e-05))
0.005         	((2.545786e+03 2.108931e+00 -1.670210e-16) (1.837273e+03 1.126881e+00 -2.688359e-16)) ((1.263068e-18 -9.365220e-17 -2.029006e-04) (1.212135e-16 8.824774e-17 3.916802e+01))
0.0075        	((1.545046e+03 3.315853e+00 -9.955023e-17) (1.288730e+03 7.187423e-01 -1.012384e-16)) ((4.037877e-19 -5.695945e-17 -1.345405e-04) (1.740367e-16 1.419086e-16 1.284378e+01))
0.01          	((1.317235e+03 5.193305e+00 -8.130688e-17) (1.046904e+03 8.070030e-01 -8.828303e-17)) ((2.565202e-19 -4.845974e-17 -1.157504e-04) (1.505156e-16 8.297314e-17 1.109748e+01))
0.0125        	((1.261959e+03 6.769032e+00 -7.526397e-17) (9.178170e+02 9.782206e-01 -7.632856e-17)) ((2.997885e-20 -4.634704e-17 -1.023074e-04) (1.626242e-16 7.438399e-17 7.861168e+00))
0.015         	((1.236146e+03 8.105872e+00 -7.243854e-17) (8.374720e+02 1.217859e+00 -9.489386e-17)) ((1.517387e-19 -4.544559e-17 -8.865556e-05) (1.623783e-16 6.551348e-17 -3.919301e+00))
0.0175        	((1.215606e+03 9.342586e+00 -7.062727e-17) (7.796807e+02 1.449903e+00 -8.078684e-17)) ((1.538730e-19 -4.465872e-17 -7.929995e-05) (1.627920e-16 6.195697e-17 -1.738073e+01))
0.02          	((1.197175e+03 1.039132e+01 -6.933155e-17) (7.352843e+02 1.716421e+00 -9.360161e-17)) ((2.150547e-19 -4.396778e-17 -7.322810e-05) (1.586534e-16 5.905361e-17 -3.327709e+01))
0.0225        	((1.174650e+03 1.129486e+01 -6.794490e-17) (6.983305e+02 1.941625e+00 -7.770439e-17)) ((2.673390e-19 -4.308307e-17 -6.709562e-05) (1.553542e-16 5.467318e-17 -4.912710e+01))
