# Selection   : all
# Cells       : 1800
# Volume      : 7.372328e+01
# Time        	max(p)
0             	0.000000e+00
0.025         	3.790306e+02
0.05          	3.409759e+02
0.075         	3.251816e+02
0.1           	3.202697e+02
0.125         	3.186699e+02
0.15          	3.181031e+02
0.175         	3.178533e+02
0.2           	3.177094e+02
0.225         	3.176132e+02
0.25          	3.175454e+02
0.275         	3.174966e+02
0.3           	3.174593e+02
0.325         	3.174316e+02
0.35          	3.174105e+02
0.375         	3.173946e+02
0.4           	3.173823e+02
0.425         	3.173730e+02
0.45          	3.173660e+02
0.475         	3.173608e+02
0.5           	3.173569e+02
0.525         	3.173541e+02
0.55          	3.173521e+02
0.575         	3.173509e+02
0.6           	3.173505e+02
0.625         	3.173501e+02
0.65          	3.173501e+02
0.675         	3.173503e+02
0.7           	3.173507e+02
0.725         	3.173512e+02
0.75          	3.173461e+02
0.775         	3.173467e+02
0.8           	3.173474e+02
0.825         	3.173481e+02
0.85          	3.173489e+02
0.875         	3.173497e+02
0.9           	3.173505e+02
0.925         	3.173513e+02
0.95          	3.173521e+02
0.975         	3.173528e+02
1             	3.173535e+02
