# Selection   : all
# Cells       : 1800
# Volume      : 7.372328e+01
# Time        	min(p)
0             	0.000000e+00
0.025         	-1.296972e+01
0.05          	-1.403505e+00
0.075         	-4.139510e-01
0.1           	-8.275060e-01
0.125         	-1.043060e+00
0.15          	-1.182061e+00
0.175         	-1.347604e+00
0.2           	-1.475171e+00
0.225         	-1.565187e+00
0.25          	-1.627770e+00
0.275         	-1.671107e+00
0.3           	-1.701373e+00
0.325         	-1.722630e+00
0.35          	-1.737753e+00
0.375         	-1.748563e+00
0.4           	-1.756341e+00
0.425         	-1.761850e+00
0.45          	-1.765596e+00
0.475         	-1.767994e+00
0.5           	-1.769351e+00
0.525         	-1.769913e+00
0.55          	-1.769855e+00
0.575         	-1.769338e+00
0.6           	-1.768490e+00
0.625         	-1.767417e+00
0.65          	-1.766199e+00
0.675         	-1.764897e+00
0.7           	-1.763554e+00
0.725         	-1.762204e+00
0.75          	-1.760979e+00
0.775         	-1.759656e+00
0.8           	-1.758349e+00
0.825         	-1.757060e+00
0.85          	-1.755795e+00
0.875         	-1.754560e+00
0.9           	-1.753368e+00
0.925         	-1.752204e+00
0.95          	-1.751106e+00
0.975         	-1.750066e+00
1             	-1.749079e+00
