# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	maxMag(U)
0             	0.000000e+00
0.05          	3.741537e+00
0.1           	3.785261e+00
0.15          	3.786106e+00
0.2           	3.786119e+00
0.25          	3.786089e+00
0.3           	3.786054e+00
0.35          	3.786024e+00
0.4           	3.786001e+00
0.45          	3.785983e+00
0.5           	3.785969e+00
0.55          	3.785958e+00
0.6           	3.785950e+00
0.65          	3.785944e+00
0.7           	3.785940e+00
0.75          	3.785936e+00
0.8           	3.785934e+00
0.85          	3.785931e+00
0.9           	3.785930e+00
0.95          	3.785929e+00
1             	3.785928e+00
