# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	minMag(U)
0             	0.000000e+00
0.05          	1.169357e-02
0.1           	2.057253e-02
0.15          	9.829805e-03
0.2           	8.986088e-03
0.25          	9.813498e-03
0.3           	1.024644e-02
0.35          	1.039411e-02
0.4           	1.040701e-02
0.45          	1.036484e-02
0.5           	1.030366e-02
0.55          	1.023980e-02
0.6           	1.018103e-02
0.65          	1.012913e-02
0.7           	1.008557e-02
0.75          	1.004938e-02
0.8           	1.001928e-02
0.85          	9.994388e-03
0.9           	9.974417e-03
0.95          	9.958264e-03
1             	9.945246e-03
