# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((3.321125e+03 -3.861965e-01 -6.452251e-16) (4.001246e+00 -1.384391e-03 1.067956e-17)) ((-3.370535e-16 5.270617e-16 -1.982613e-04) (-3.779292e-18 -1.459740e-18 -3.608559e-05))
0.01          	((1.941392e+03 4.856455e+00 -1.213627e-16) (1.150421e+03 8.313443e-01 8.394375e-16)) ((3.575912e-17 5.917499e-17 -1.743376e-04) (1.202490e-16 -1.164581e-16 1.213070e+01))
0.015         	((1.399254e+03 8.741201e+00 -9.582657e-17) (8.124931e+02 1.375447e+00 6.041749e-16)) ((4.930658e-17 3.238118e-17 -1.189794e-04) (1.613984e-16 -1.510370e-17 -1.139546e+01))
0.02          	((1.263824e+03 1.113130e+01 -6.816714e-17) (6.807595e+02 2.106523e+00 4.861368e-16)) ((5.558023e-17 1.919620e-17 -8.251411e-05) (1.604171e-16 3.143912e-17 -6.675593e+01))
0.025         	((1.154104e+03 1.332413e+01 -5.113862e-17) (6.025892e+02 2.651563e+00 4.652534e-16)) ((5.547821e-17 1.227834e-17 -5.973001e-05) (1.788471e-16 2.080600e-17 -1.171318e+02))
0.03          	((1.074171e+03 1.461827e+01 -4.055521e-17) (5.481282e+02 3.214320e+00 4.451349e-16)) ((5.392341e-17 9.076669e-18 -4.395367e-05) (1.912952e-16 1.929113e-17 -1.545514e+02))
0.035         	((1.012613e+03 1.537752e+01 -3.387816e-17) (5.105981e+02 3.584549e+00 4.358985e-16)) ((5.238694e-17 6.932390e-18 -3.155042e-05) (1.965710e-16 3.256872e-18 -1.815090e+02))
0.04          	((9.670783e+02 1.595269e+01 -2.907852e-17) (4.852137e+02 3.944278e+00 4.317527e-16)) ((5.125516e-17 5.457813e-18 -2.276849e-05) (1.992386e-16 -9.456392e-18 -2.007919e+02))
0.045         	((9.344055e+02 1.621533e+01 -2.575971e-17) (4.680178e+02 4.143337e+00 4.300126e-16)) ((5.041727e-17 4.295765e-18 -1.618124e-05) (1.996844e-16 -2.573942e-17 -2.129140e+02))
0.05          	((9.115874e+02 1.645549e+01 -2.336458e-17) (4.566309e+02 4.346611e+00 4.291915e-16)) ((4.982536e-17 3.487455e-18 -1.178605e-05) (2.003179e-16 -3.542605e-17 -2.209016e+02))
0.055         	((8.960934e+02 1.660068e+01 -2.173128e-17) (4.490873e+02 4.454601e+00 4.281935e-16)) ((4.942989e-17 2.837286e-18 -8.626299e-06) (2.002700e-16 -4.480551e-17 -2.255088e+02))
0.06          	((8.857000e+02 1.673117e+01 -2.058879e-17) (4.441682e+02 4.579458e+00 4.279663e-16)) ((4.920234e-17 2.386537e-18 -6.612959e-06) (2.005511e-16 -4.986846e-17 -2.284318e+02))
0.065         	((8.788834e+02 1.677184e+01 -1.982467e-17) (4.409466e+02 4.644102e+00 4.273835e-16)) ((4.907367e-17 2.020814e-18 -5.211383e-06) (2.003683e-16 -5.469349e-17 -2.299528e+02))
0.07          	((8.744065e+02 1.686772e+01 -1.930179e-17) (4.388483e+02 4.724053e+00 4.274221e-16)) ((4.903379e-17 1.759244e-18 -4.353745e-06) (2.004285e-16 -5.720466e-17 -2.308903e+02))
0.075         	((8.714853e+02 1.693698e+01 -1.894696e-17) (4.374682e+02 4.771739e+00 4.269667e-16)) ((4.902920e-17 1.534816e-18 -3.755444e-06) (2.002632e-16 -5.956829e-17 -2.312866e+02))
0.08          	((8.695441e+02 1.698174e+01 -1.870022e-17) (4.365565e+02 4.823206e+00 4.269514e-16)) ((4.905920e-17 1.364940e-18 -3.394709e-06) (2.002877e-16 -6.072136e-17 -2.315218e+02))
0.085         	((8.682972e+02 1.699867e+01 -1.852916e-17) (4.359512e+02 4.851295e+00 4.266184e-16)) ((4.909696e-17 1.217146e-18 -3.141914e-06) (2.001469e-16 -6.186559e-17 -2.315543e+02))
0.09          	((8.674645e+02 1.702301e+01 -1.840610e-17) (4.355427e+02 4.883469e+00 4.266207e-16)) ((4.914663e-17 1.100719e-18 -2.999999e-06) (2.001274e-16 -6.243450e-17 -2.315659e+02))
0.095         	((8.669257e+02 1.702955e+01 -1.831495e-17) (4.352673e+02 4.903098e+00 4.264121e-16)) ((4.919317e-17 9.971863e-19 -2.893929e-06) (2.000151e-16 -6.302923e-17 -2.315012e+02))
0.1           	((8.665524e+02 1.705643e+01 -1.824426e-17) (4.350747e+02 4.927577e+00 4.263983e-16)) ((4.924102e-17 9.118449e-19 -2.837979e-06) (1.999881e-16 -6.333340e-17 -2.314538e+02))
0.105         	((8.663010e+02 1.707112e+01 -1.818760e-17) (4.349428e+02 4.944641e+00 4.262428e-16)) ((4.928317e-17 8.354107e-19 -2.794545e-06) (1.999169e-16 -6.365315e-17 -2.313787e+02))
0.11          	((8.661107e+02 1.708800e+01 -1.814192e-17) (4.348459e+02 4.963793e+00 4.262122e-16)) ((4.932508e-17 7.710846e-19 -2.776855e-06) (1.998896e-16 -6.383341e-17 -2.313260e+02))
0.115         	((8.659976e+02 1.709823e+01 -1.810370e-17) (4.347795e+02 4.977933e+00 4.260959e-16)) ((4.936170e-17 7.134928e-19 -2.764029e-06) (1.998358e-16 -6.401638e-17 -2.312633e+02))
0.12          	((8.659152e+02 1.711104e+01 -1.807163e-17) (4.347294e+02 4.993550e+00 4.260568e-16)) ((4.939723e-17 6.639407e-19 -2.765548e-06) (1.998089e-16 -6.413124e-17 -2.312184e+02))
0.125         	((8.658607e+02 1.711999e+01 -1.804296e-17) (4.346946e+02 5.005931e+00 4.259653e-16)) ((4.942834e-17 6.191768e-19 -2.766522e-06) (1.997691e-16 -6.424263e-17 -2.311704e+02))
0.13          	((8.658222e+02 1.713071e+01 -1.801811e-17) (4.346675e+02 5.019219e+00 4.259201e-16)) ((4.945796e-17 5.800735e-19 -2.775601e-06) (1.997447e-16 -6.432168e-17 -2.311353e+02))
0.135         	((8.658019e+02 1.713756e+01 -1.799529e-17) (4.346487e+02 5.030305e+00 4.258471e-16)) ((4.948419e-17 5.445834e-19 -2.784011e-06) (1.997138e-16 -6.439520e-17 -2.310999e+02))
0.14          	((8.657872e+02 1.714897e+01 -1.797508e-17) (4.346340e+02 5.042093e+00 4.258014e-16)) ((4.950886e-17 5.133628e-19 -2.795873e-06) (1.996923e-16 -6.445435e-17 -2.310733e+02))
0.145         	((8.657802e+02 1.716648e+01 -1.795514e-17) (4.346242e+02 5.053288e+00 4.257380e-16)) ((4.953013e-17 4.845600e-19 -2.805721e-06) (1.996718e-16 -6.450530e-17 -2.310477e+02))
0.15          	((8.657758e+02 1.717981e+01 -1.793720e-17) (4.346165e+02 5.065009e+00 4.256904e-16)) ((4.955024e-17 4.588102e-19 -2.818580e-06) (1.996601e-16 -6.455135e-17 -2.310279e+02))
0.155         	((8.657756e+02 1.718674e+01 -1.792067e-17) (4.346117e+02 5.074852e+00 4.256419e-16)) ((4.956884e-17 4.355771e-19 -2.830229e-06) (1.996424e-16 -6.459304e-17 -2.310095e+02))
0.16          	((8.657819e+02 1.719451e+01 -1.790548e-17) (4.346083e+02 5.084750e+00 4.256039e-16)) ((4.958642e-17 4.145144e-19 -2.843305e-06) (1.996290e-16 -6.463186e-17 -2.309947e+02))
0.165         	((8.657816e+02 1.720347e+01 -1.789073e-17) (4.346067e+02 5.093862e+00 4.255615e-16)) ((4.960232e-17 3.951919e-19 -2.853142e-06) (1.996138e-16 -6.466572e-17 -2.309809e+02))
0.17          	((8.657922e+02 1.720943e+01 -1.787728e-17) (4.346063e+02 5.102833e+00 4.255309e-16)) ((4.961716e-17 3.777104e-19 -2.865913e-06) (1.996013e-16 -6.470194e-17 -2.309697e+02))
0.175         	((8.658029e+02 1.721549e+01 -1.786452e-17) (4.346075e+02 5.111143e+00 4.255044e-16)) ((4.963075e-17 3.617710e-19 -2.876849e-06) (1.995896e-16 -6.473649e-17 -2.309596e+02))
0.18          	((8.658143e+02 1.722240e+01 -1.785260e-17) (4.346089e+02 5.119378e+00 4.254793e-16)) ((4.964353e-17 3.472580e-19 -2.888427e-06) (1.995796e-16 -6.476883e-17 -2.309514e+02))
0.185         	((8.658265e+02 1.722893e+01 -1.784136e-17) (4.346111e+02 5.127003e+00 4.254542e-16)) ((4.965533e-17 3.340870e-19 -2.899617e-06) (1.995703e-16 -6.479655e-17 -2.309444e+02))
0.19          	((8.658384e+02 1.723501e+01 -1.783067e-17) (4.346135e+02 5.134504e+00 4.254327e-16)) ((4.966631e-17 3.219298e-19 -2.910461e-06) (1.995622e-16 -6.482489e-17 -2.309388e+02))
0.195         	((8.658517e+02 1.724078e+01 -1.782049e-17) (4.346165e+02 5.141626e+00 4.254130e-16)) ((4.967650e-17 3.107721e-19 -2.920470e-06) (1.995543e-16 -6.485125e-17 -2.309339e+02))
0.2           	((8.658650e+02 1.724646e+01 -1.781081e-17) (4.346196e+02 5.148578e+00 4.253958e-16)) ((4.968605e-17 3.004752e-19 -2.930246e-06) (1.995473e-16 -6.487750e-17 -2.309301e+02))
0.205         	((8.658785e+02 1.725245e+01 -1.780166e-17) (4.346230e+02 5.155144e+00 4.253761e-16)) ((4.969499e-17 2.911042e-19 -2.940091e-06) (1.995412e-16 -6.489847e-17 -2.309270e+02))
0.21          	((8.658918e+02 1.725673e+01 -1.779285e-17) (4.346265e+02 5.161485e+00 4.253621e-16)) ((4.970325e-17 2.823879e-19 -2.948991e-06) (1.995354e-16 -6.492263e-17 -2.309247e+02))
0.215         	((8.659052e+02 1.725810e+01 -1.778411e-17) (4.346301e+02 5.167307e+00 4.253478e-16)) ((4.971063e-17 2.744103e-19 -2.957266e-06) (1.995304e-16 -6.494499e-17 -2.309229e+02))
