# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	max(p)
0             	0.000000e+00
0.05          	2.675406e+02
0.1           	2.539096e+02
0.15          	2.528919e+02
0.2           	2.525690e+02
0.25          	2.524253e+02
0.3           	2.523510e+02
0.35          	2.523096e+02
0.4           	2.522856e+02
0.45          	2.522726e+02
0.5           	2.522649e+02
0.55          	2.522604e+02
0.6           	2.522583e+02
0.65          	2.522578e+02
0.7           	2.522583e+02
0.75          	2.522595e+02
0.8           	2.522609e+02
0.85          	2.522626e+02
0.9           	2.522644e+02
0.95          	2.522662e+02
1             	2.522679e+02
