# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.65          	-1.170781e-02	5.856292e+00	-1.106120e+00	-5.647677e-01	-5.413521e-01
0.6525        	-1.189835e-02	1.392066e+00	4.102455e+00	2.039329e+00	2.063126e+00
0.655         	-1.208790e-02	6.267208e+00	-1.154148e+00	-5.891618e-01	-5.649860e-01
0.6575        	-1.227550e-02	6.331813e+00	-1.156080e+00	-5.903154e-01	-5.657644e-01
0.66          	-1.246159e-02	6.390990e+00	-1.146430e+00	-5.856764e-01	-5.607532e-01
0.6625        	-1.264629e-02	6.443573e+00	-1.136347e+00	-5.808200e-01	-5.555274e-01
0.665         	-1.282969e-02	6.492234e+00	-1.126264e+00	-5.759615e-01	-5.503021e-01
0.6675        	-1.301188e-02	6.538264e+00	-1.116295e+00	-5.711595e-01	-5.451357e-01
0.67          	-1.319296e-02	6.582064e+00	-1.105842e+00	-5.661141e-01	-5.397281e-01
0.6725        	-1.337301e-02	6.623621e+00	-1.095130e+00	-5.609378e-01	-5.341918e-01
0.675         	-1.355211e-02	6.663342e+00	-1.084605e+00	-5.558548e-01	-5.287505e-01
0.6775        	-1.373032e-02	6.701272e+00	-1.074016e+00	-5.507383e-01	-5.232776e-01
0.68          	-1.390772e-02	6.737456e+00	-1.063289e+00	-5.455524e-01	-5.177369e-01
0.6825        	-1.408436e-02	6.772098e+00	-1.052486e+00	-5.403272e-01	-5.121584e-01
0.685         	-1.426032e-02	6.805228e+00	-1.041699e+00	-5.351097e-01	-5.065891e-01
0.6875        	-1.443563e-02	6.837008e+00	-1.030767e+00	-5.298193e-01	-5.009480e-01
0.69          	-1.461037e-02	6.867482e+00	-1.019860e+00	-5.245406e-01	-4.953199e-01
0.6925        	-1.478457e-02	6.896708e+00	-1.008843e+00	-5.192059e-01	-4.896367e-01
0.695         	-1.495829e-02	6.924738e+00	-9.977397e-01	-5.138282e-01	-4.839116e-01
0.6975        	-1.513156e-02	6.951533e+00	-9.864263e-01	-5.083447e-01	-4.780816e-01
0.7           	-1.530443e-02	6.977568e+00	-9.754207e-01	-5.030148e-01	-4.724059e-01
