# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0025        	-2.105980e-04	6.610625e+03	1.298339e+00	6.489591e-01	6.493803e-01
0.005         	-2.720396e-05	2.596091e+01	-1.248155e+00	-6.241045e-01	-6.240501e-01
0.0075        	-5.115970e-05	2.404282e+01	-1.289345e+00	-6.447236e-01	-6.446213e-01
0.01          	-8.086012e-05	2.335380e+01	-1.276750e+00	-6.384559e-01	-6.382942e-01
0.0125        	-1.153496e-04	2.271039e+01	-1.275174e+00	-6.377021e-01	-6.374714e-01
0.015         	-1.537960e-04	2.210831e+01	-1.276824e+00	-6.385659e-01	-6.382583e-01
0.0175        	-1.954970e-04	2.154219e+01	-1.279664e+00	-6.400277e-01	-6.396367e-01
0.02          	-2.398918e-04	2.100796e+01	-1.281956e+00	-6.412181e-01	-6.407383e-01
0.0225        	-2.865631e-04	2.050232e+01	-1.282735e+00	-6.416542e-01	-6.410811e-01
0.025         	-3.351719e-04	2.002269e+01	-1.283758e+00	-6.422144e-01	-6.415440e-01
0.0275        	-3.854648e-04	1.956696e+01	-1.283982e+00	-6.423765e-01	-6.416055e-01
0.03          	-4.372477e-04	1.913341e+01	-1.284105e+00	-6.424899e-01	-6.416154e-01
0.0325        	-4.903758e-04	1.872054e+01	-1.284013e+00	-6.424971e-01	-6.415163e-01
0.035         	-5.447421e-04	1.832703e+01	-1.283762e+00	-6.424259e-01	-6.413364e-01
0.0375        	-6.002692e-04	1.795170e+01	-1.283405e+00	-6.423030e-01	-6.411024e-01
0.04          	-6.569022e-04	1.759350e+01	-1.282972e+00	-6.421430e-01	-6.408292e-01
0.0425        	-7.146039e-04	1.725143e+01	-1.282505e+00	-6.419670e-01	-6.405378e-01
0.045         	-7.733311e-04	1.692445e+01	-1.283125e+00	-6.423358e-01	-6.407892e-01
0.0475        	-8.330710e-04	1.661188e+01	-1.282694e+00	-6.421800e-01	-6.405139e-01
0.05          	-8.938164e-04	1.631283e+01	-1.282248e+00	-6.420179e-01	-6.402302e-01
0.0525        	-9.555682e-04	1.602654e+01	-1.281696e+00	-6.418033e-01	-6.398922e-01
0.055         	-1.018331e-03	1.575231e+01	-1.280989e+00	-6.415128e-01	-6.394761e-01
0.0575        	-1.082112e-03	1.548950e+01	-1.280507e+00	-6.413354e-01	-6.391712e-01
0.06          	-1.146920e-03	1.523750e+01	-1.280026e+00	-6.411600e-01	-6.388661e-01
0.0625        	-1.212789e-03	1.499579e+01	-1.278033e+00	-6.402291e-01	-6.378036e-01
0.065         	-1.279734e-03	1.476375e+01	-1.278034e+00	-6.402965e-01	-6.377370e-01
0.0675        	-1.347780e-03	1.454101e+01	-1.277019e+00	-6.398573e-01	-6.371617e-01
0.07          	-1.416936e-03	1.432697e+01	-1.277643e+00	-6.402383e-01	-6.374044e-01
0.0725        	-1.487207e-03	1.412125e+01	-1.277408e+00	-6.401911e-01	-6.372167e-01
0.075         	-1.558605e-03	1.392343e+01	-1.276955e+00	-6.400359e-01	-6.369187e-01
0.0775        	-1.631134e-03	1.373318e+01	-1.276377e+00	-6.398198e-01	-6.365575e-01
0.08          	-1.704799e-03	1.355008e+01	-1.275923e+00	-6.396661e-01	-6.362565e-01
0.0825        	-1.779602e-03	1.337384e+01	-1.275710e+00	-6.396346e-01	-6.360754e-01
0.085         	-1.855546e-03	1.320415e+01	-1.275456e+00	-6.395835e-01	-6.358724e-01
0.0875        	-1.932628e-03	1.304074e+01	-1.275602e+00	-6.397336e-01	-6.358684e-01
0.09          	-2.010845e-03	1.288325e+01	-1.275341e+00	-6.396815e-01	-6.356598e-01
0.0925        	-2.090192e-03	1.273141e+01	-1.274313e+00	-6.392468e-01	-6.350664e-01
0.095         	-2.170666e-03	1.258494e+01	-1.273204e+00	-6.387725e-01	-6.344312e-01
0.0975        	-2.252259e-03	1.244357e+01	-1.272529e+00	-6.385167e-01	-6.340121e-01
0.1           	-2.334960e-03	1.230710e+01	-1.272095e+00	-6.383826e-01	-6.337127e-01
0.1025        	-2.418760e-03	1.217518e+01	-1.270743e+00	-6.377904e-01	-6.329529e-01
0.105         	-2.503659e-03	1.204777e+01	-1.269309e+00	-6.371581e-01	-6.321507e-01
0.1075        	-2.589659e-03	1.192464e+01	-1.267592e+00	-6.363855e-01	-6.312062e-01
0.11          	-2.676749e-03	1.180553e+01	-1.266694e+00	-6.360240e-01	-6.306705e-01
0.1125        	-2.764920e-03	1.169045e+01	-1.266648e+00	-6.360889e-01	-6.305591e-01
0.115         	-2.854163e-03	1.157907e+01	-1.266062e+00	-6.358853e-01	-6.301770e-01
0.1175        	-2.944473e-03	1.147131e+01	-1.265221e+00	-6.355550e-01	-6.296661e-01
0.12          	-3.035840e-03	1.136698e+01	-1.264755e+00	-6.354134e-01	-6.293417e-01
0.1225        	-3.128257e-03	1.126599e+01	-1.264073e+00	-6.351646e-01	-6.289081e-01
0.125         	-3.221715e-03	1.116817e+01	-1.262946e+00	-6.346946e-01	-6.282511e-01
0.1275        	-3.316203e-03	1.107350e+01	-1.262175e+00	-6.344037e-01	-6.277713e-01
0.13          	-3.411706e-03	1.098176e+01	-1.261289e+00	-6.340561e-01	-6.272327e-01
0.1325        	-3.508214e-03	1.089280e+01	-1.260014e+00	-6.335153e-01	-6.264989e-01
0.135         	-3.605719e-03	1.080660e+01	-1.258669e+00	-6.329404e-01	-6.257289e-01
0.1375        	-3.704210e-03	1.072302e+01	-1.257207e+00	-6.323077e-01	-6.248992e-01
0.14          	-3.803677e-03	1.064198e+01	-1.255814e+00	-6.317106e-01	-6.241033e-01
0.1425        	-3.904105e-03	1.056344e+01	-1.254602e+00	-6.312052e-01	-6.233969e-01
0.145         	-4.005484e-03	1.048720e+01	-1.252552e+00	-6.302817e-01	-6.222707e-01
0.1475        	-4.107802e-03	1.041319e+01	-1.251154e+00	-6.296849e-01	-6.214693e-01
0.15          	-4.211049e-03	1.034136e+01	-1.249313e+00	-6.288674e-01	-6.204453e-01
0.1525        	-4.315214e-03	1.027161e+01	-1.247376e+00	-6.280032e-01	-6.193727e-01
0.155         	-4.420286e-03	1.020396e+01	-1.244462e+00	-6.266513e-01	-6.178107e-01
0.1575        	-4.526256e-03	1.013832e+01	-1.242454e+00	-6.257532e-01	-6.167007e-01
0.16          	-4.633110e-03	1.007449e+01	-1.240206e+00	-6.247362e-01	-6.154700e-01
0.1625        	-4.740841e-03	1.001254e+01	-1.238226e+00	-6.238539e-01	-6.143722e-01
0.165         	-4.849439e-03	9.952310e+00	-1.235345e+00	-6.225219e-01	-6.128230e-01
0.1675        	-4.958897e-03	9.893951e+00	-1.233317e+00	-6.216176e-01	-6.116998e-01
0.17          	-5.069201e-03	9.837206e+00	-1.229706e+00	-6.199222e-01	-6.097838e-01
0.1725        	-5.180346e-03	9.781879e+00	-1.228021e+00	-6.191907e-01	-6.088300e-01
0.175         	-5.292322e-03	9.728042e+00	-1.225442e+00	-6.180134e-01	-6.074288e-01
0.1775        	-5.405121e-03	9.675726e+00	-1.222668e+00	-6.167391e-01	-6.059288e-01
