# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
4.15          	((4.527744e+00 -1.080311e+00 4.340767e-19) (1.346369e+00 -3.964350e-02 5.371876e-18)) ((8.080987e-21 -1.630230e-19 1.540935e-06) (4.879481e-18 -4.081203e-18 -2.329844e-02))
4.1525        	((7.033508e-02 4.132409e+00 -6.691524e-19) (1.358568e+00 -3.367810e-02 -6.931600e-19)) ((2.249843e-19 -2.024366e-19 2.376543e-06) (4.742607e-19 4.817978e-21 -2.367892e-02))
4.155         	((4.932905e+00 -1.120184e+00 2.576051e-19) (1.374720e+00 -3.416281e-02 -6.489207e-19)) ((7.319728e-21 -2.052392e-19 1.577220e-06) (4.319813e-19 -1.289990e-21 -2.405595e-02))
4.1575        	((4.979888e+00 -1.123648e+00 2.563998e-19) (1.389940e+00 -3.456316e-02 -6.769397e-19)) ((8.276403e-21 -2.068966e-19 1.539142e-06) (4.545234e-19 1.860941e-21 -2.442991e-02))
4.16          	((5.022507e+00 -1.114936e+00 2.543340e-19) (1.404323e+00 -3.490592e-02 -7.004131e-19)) ((8.764944e-21 -2.081167e-19 1.523117e-06) (4.724663e-19 5.074125e-21 -2.480095e-02))
4.1625        	((5.059283e+00 -1.104191e+00 2.526844e-19) (1.417920e+00 -3.520178e-02 -7.232985e-19)) ((9.211870e-21 -2.091322e-19 1.510285e-06) (4.898036e-19 9.035036e-21 -2.516929e-02))
4.165         	((5.093114e+00 -1.094193e+00 2.509755e-19) (1.430788e+00 -3.546754e-02 -7.436087e-19)) ((9.559134e-21 -2.101246e-19 1.500875e-06) (5.051820e-19 1.191956e-20 -2.553510e-02))
4.1675        	((5.125305e+00 -1.084276e+00 2.492159e-19) (1.442966e+00 -3.571006e-02 -7.628965e-19)) ((9.835024e-21 -2.110369e-19 1.492403e-06) (5.195527e-19 1.474696e-20 -2.589858e-02))
4.17          	((5.155660e+00 -1.073560e+00 2.475981e-19) (1.454493e+00 -3.593018e-02 -7.811700e-19)) ((1.016480e-20 -2.119454e-19 1.484712e-06) (5.333117e-19 1.735151e-20 -2.625990e-02))
4.1725        	((5.184644e+00 -1.062828e+00 2.460232e-19) (1.465403e+00 -3.612975e-02 -7.986632e-19)) ((1.049890e-20 -2.128128e-19 1.477349e-06) (5.465105e-19 1.986438e-20 -2.661921e-02))
4.175         	((5.212503e+00 -1.052126e+00 2.444549e-19) (1.475725e+00 -3.631008e-02 -8.154380e-19)) ((1.079585e-20 -2.136474e-19 1.469975e-06) (5.591908e-19 2.230630e-20 -2.697668e-02))
4.1775        	((5.239143e+00 -1.041189e+00 2.429676e-19) (1.485489e+00 -3.647182e-02 -8.315573e-19)) ((1.113851e-20 -2.144291e-19 1.462955e-06) (5.713836e-19 2.468157e-20 -2.733243e-02))
4.18          	((5.264701e+00 -1.030355e+00 2.415169e-19) (1.494721e+00 -3.661584e-02 -8.470532e-19)) ((1.147372e-20 -2.151736e-19 1.456019e-06) (5.831333e-19 2.698856e-20 -2.768660e-02))
4.1825        	((5.289316e+00 -1.019467e+00 2.400991e-19) (1.503447e+00 -3.674264e-02 -8.619454e-19)) ((1.180962e-20 -2.158859e-19 1.449185e-06) (5.944483e-19 2.923289e-20 -2.803932e-02))
4.185         	((5.312971e+00 -1.008629e+00 2.387189e-19) (1.511692e+00 -3.685273e-02 -8.762557e-19)) ((1.214386e-20 -2.165653e-19 1.442434e-06) (6.053381e-19 3.142238e-20 -2.839071e-02))
4.1875        	((5.335816e+00 -9.976490e-01 2.373694e-19) (1.519479e+00 -3.694643e-02 -8.900124e-19)) ((1.248417e-20 -2.172171e-19 1.435773e-06) (6.158165e-19 3.356441e-20 -2.874086e-02))
4.19          	((5.357833e+00 -9.866482e-01 2.360549e-19) (1.526829e+00 -3.702416e-02 -9.032488e-19)) ((1.282645e-20 -2.178406e-19 1.429206e-06) (6.258939e-19 3.566870e-20 -2.908990e-02))
4.1925        	((5.379058e+00 -9.755532e-01 2.347738e-19) (1.533762e+00 -3.708630e-02 -9.160163e-19)) ((1.317288e-20 -2.184362e-19 1.422769e-06) (6.355661e-19 3.776208e-20 -2.943790e-02))
4.195         	((5.399270e+00 -9.641039e-01 2.335310e-19) (1.540299e+00 -3.713301e-02 -9.286363e-19)) ((1.352685e-20 -2.189911e-19 1.416913e-06) (6.446670e-19 4.007897e-20 -2.978499e-02))
4.1975        	((5.419689e+00 -9.535323e-01 2.322962e-19) (1.546459e+00 -3.716522e-02 -9.399823e-19)) ((1.387660e-20 -2.195736e-19 1.409557e-06) (6.539414e-19 4.170636e-20 -3.013122e-02))
4.2           	((5.438947e+00 -9.423761e-01 2.311030e-19) (1.552258e+00 -3.718272e-02 -9.512411e-19)) ((1.423921e-20 -2.201066e-19 1.403154e-06) (6.626927e-19 4.355463e-20 -3.047666e-02))
