# Selection   : all
# Cells       : 1800
# Volume      : 7.372328e+01
# Time        	maxMag(U)
0             	0.000000e+00
0.025         	2.865595e+00
0.05          	2.889606e+00
0.075         	2.922885e+00
0.1           	2.935560e+00
0.125         	2.957844e+00
0.15          	2.980541e+00
0.175         	2.995944e+00
0.2           	3.005482e+00
0.225         	3.010299e+00
0.25          	3.013383e+00
0.275         	3.024490e+00
0.3           	3.032358e+00
0.325         	3.036808e+00
0.35          	3.038331e+00
0.375         	3.037413e+00
0.4           	3.034501e+00
0.425         	3.029988e+00
0.45          	3.024194e+00
0.475         	3.017358e+00
0.5           	3.011487e+00
0.525         	3.006500e+00
0.55          	3.000482e+00
0.575         	2.993569e+00
0.6           	2.985856e+00
0.625         	2.977423e+00
0.65          	2.968329e+00
0.675         	2.958648e+00
0.7           	2.948443e+00
0.725         	2.937789e+00
0.75          	2.926743e+00
0.775         	2.915381e+00
0.8           	2.903763e+00
0.825         	2.891952e+00
0.85          	2.879975e+00
0.875         	2.867874e+00
0.9           	2.855683e+00
0.925         	2.843443e+00
0.95          	2.831145e+00
0.975         	2.818877e+00
1             	2.806599e+00
1.025         	2.794329e+00
1.05          	2.782156e+00
1.075         	2.770894e+00
1.1           	2.759649e+00
1.125         	2.752583e+00
1.15          	2.747998e+00
1.175         	2.742758e+00
1.2           	2.736877e+00
1.225         	2.730354e+00
1.25          	2.723205e+00
1.275         	2.715459e+00
1.3           	2.707157e+00
1.325         	2.698342e+00
1.35          	2.689069e+00
1.375         	2.679382e+00
1.4           	2.669347e+00
1.425         	2.659019e+00
1.45          	2.648440e+00
1.475         	2.637662e+00
1.5           	2.626729e+00
1.525         	2.615673e+00
1.55          	2.604556e+00
1.575         	2.598439e+00
1.6           	2.601625e+00
1.625         	2.604605e+00
1.65          	2.607375e+00
1.675         	2.609939e+00
1.7           	2.612307e+00
1.725         	2.614473e+00
1.75          	2.616446e+00
1.775         	2.618242e+00
1.8           	2.619850e+00
1.825         	2.621285e+00
1.85          	2.622557e+00
1.875         	2.623680e+00
1.9           	2.624662e+00
1.925         	2.625516e+00
1.95          	2.626250e+00
1.975         	2.626875e+00
2             	2.627401e+00
2.025         	2.627835e+00
2.05          	2.628189e+00
2.075         	2.628462e+00
2.1           	2.628664e+00
2.125         	2.628810e+00
2.15          	2.628903e+00
2.175         	2.628953e+00
2.2           	2.628965e+00
2.225         	2.628925e+00
2.25          	2.628904e+00
2.275         	2.629115e+00
2.3           	2.629301e+00
2.325         	2.629462e+00
2.35          	2.629601e+00
2.375         	2.629715e+00
2.4           	2.629807e+00
2.425         	2.629865e+00
2.45          	2.629896e+00
2.475         	2.629897e+00
2.5           	2.629869e+00
2.525         	2.629852e+00
2.55          	2.629802e+00
2.575         	2.630238e+00
2.6           	2.631296e+00
2.625         	2.632228e+00
2.65          	2.633043e+00
2.675         	2.633726e+00
2.7           	2.634282e+00
2.725         	2.634706e+00
2.75          	2.634998e+00
2.775         	2.635161e+00
2.8           	2.635197e+00
2.825         	2.635096e+00
2.85          	2.634852e+00
2.875         	2.634478e+00
2.9           	2.633971e+00
2.925         	2.633333e+00
2.95          	2.632568e+00
2.975         	2.631672e+00
3             	2.630640e+00
3.025         	2.629507e+00
3.05          	2.628268e+00
3.075         	2.626905e+00
3.1           	2.625430e+00
3.125         	2.623849e+00
3.15          	2.622169e+00
3.175         	2.620438e+00
3.2           	2.620828e+00
3.225         	2.620411e+00
3.25          	2.619636e+00
3.275         	2.626467e+00
3.3           	2.632874e+00
3.325         	2.638800e+00
3.35          	2.644536e+00
3.375         	2.649709e+00
3.4           	2.654321e+00
3.425         	2.658366e+00
3.45          	2.661831e+00
3.475         	2.664688e+00
3.5           	2.666916e+00
3.525         	2.668500e+00
3.55          	2.669398e+00
3.575         	2.670513e+00
3.6           	2.675561e+00
3.625         	2.679849e+00
3.65          	2.683343e+00
3.675         	2.686002e+00
3.7           	2.687866e+00
3.725         	2.688920e+00
3.75          	2.688999e+00
3.775         	2.688032e+00
3.8           	2.686010e+00
3.825         	2.691256e+00
3.85          	2.698178e+00
3.875         	2.704515e+00
3.9           	2.710230e+00
3.925         	2.715258e+00
3.95          	2.719569e+00
3.975         	2.723114e+00
4             	2.725834e+00
4.025         	2.727650e+00
4.05          	2.728657e+00
4.075         	2.728857e+00
4.1           	2.728117e+00
4.125         	2.726446e+00
4.15          	2.723824e+00
4.175         	2.720235e+00
4.2           	2.715596e+00
4.225         	2.709911e+00
4.25          	2.703197e+00
4.275         	2.697533e+00
4.3           	2.698222e+00
4.325         	2.704834e+00
4.35          	2.710711e+00
4.375         	2.715846e+00
4.4           	2.720197e+00
4.425         	2.723744e+00
4.45          	2.726452e+00
4.475         	2.728238e+00
4.5           	2.729115e+00
4.525         	2.728942e+00
4.55          	2.727951e+00
4.575         	2.732850e+00
4.6           	2.736743e+00
4.625         	2.739662e+00
4.65          	2.741525e+00
4.675         	2.742392e+00
4.7           	2.741855e+00
4.725         	2.740112e+00
4.75          	2.738995e+00
4.775         	2.744747e+00
4.8           	2.749635e+00
4.825         	2.753714e+00
4.85          	2.756886e+00
4.875         	2.759088e+00
4.9           	2.760273e+00
4.925         	2.760300e+00
4.95          	2.759320e+00
4.975         	2.757262e+00
5             	2.754060e+00
