# Selection   : all
# Cells       : 1800
# Volume      : 7.372328e+01
# Time        	minMag(U)
0             	0.000000e+00
0.025         	3.820198e-02
0.05          	3.405004e-02
0.075         	3.056581e-02
0.1           	2.757767e-02
0.125         	2.509815e-02
0.15          	1.944225e-02
0.175         	1.311636e-02
0.2           	8.086032e-03
0.225         	3.959585e-03
0.25          	5.236795e-04
0.275         	2.554358e-03
0.3           	4.858613e-03
0.325         	1.615147e-03
0.35          	1.920265e-03
0.375         	1.030584e-03
0.4           	3.658338e-03
0.425         	5.982475e-03
0.45          	1.254751e-03
0.475         	2.459404e-04
0.5           	1.149024e-03
0.525         	2.308025e-03
0.55          	4.602219e-03
0.575         	2.395892e-03
0.6           	8.136007e-03
0.625         	3.728719e-03
0.65          	1.871494e-03
0.675         	3.765787e-03
0.7           	6.955181e-03
0.725         	3.451897e-03
0.75          	6.226410e-03
0.775         	5.927465e-03
0.8           	5.733915e-03
0.825         	5.652989e-03
0.85          	5.768693e-03
0.875         	6.114517e-03
0.9           	4.384278e-03
0.925         	6.157109e-03
0.95          	8.515614e-03
0.975         	9.514947e-03
1             	1.059109e-02
1.025         	1.168778e-02
1.05          	1.175254e-02
1.075         	1.145018e-02
1.1           	7.165264e-03
1.125         	1.034662e-02
1.15          	6.331240e-03
1.175         	9.035394e-03
1.2           	8.393394e-03
1.225         	7.747337e-03
1.25          	5.516574e-03
1.275         	3.943168e-03
1.3           	3.793290e-03
1.325         	5.079994e-03
1.35          	6.958043e-03
1.375         	8.979827e-03
1.4           	1.099425e-02
1.425         	1.294391e-02
1.45          	1.479694e-02
1.475         	1.652978e-02
1.5           	1.038653e-02
1.525         	6.167869e-03
1.55          	1.013099e-02
1.575         	1.482420e-02
1.6           	1.429239e-02
1.625         	1.373116e-02
1.65          	1.315208e-02
1.675         	1.254669e-02
1.7           	1.192948e-02
1.725         	1.044985e-02
1.75          	8.318698e-03
1.775         	8.479747e-03
1.8           	8.249938e-03
1.825         	7.125657e-03
1.85          	6.084395e-03
1.875         	5.138949e-03
1.9           	4.309092e-03
1.925         	3.640293e-03
1.95          	3.189150e-03
1.975         	3.022700e-03
2             	3.157146e-03
2.025         	3.487715e-03
2.05          	3.060062e-03
2.075         	2.769031e-03
2.1           	2.659949e-03
2.125         	2.748591e-03
2.15          	3.014114e-03
2.175         	3.409929e-03
2.2           	3.885121e-03
2.225         	4.409666e-03
2.25          	4.962471e-03
2.275         	5.532381e-03
2.3           	6.112426e-03
2.325         	6.697503e-03
2.35          	7.280451e-03
2.375         	7.862147e-03
2.4           	7.862097e-03
2.425         	7.742232e-03
2.45          	8.407907e-03
2.475         	8.421509e-03
2.5           	3.706158e-03
2.525         	7.765079e-03
2.55          	6.604485e-03
2.575         	5.734093e-03
2.6           	5.212465e-03
2.625         	5.017169e-03
2.65          	5.077792e-03
2.675         	5.285128e-03
2.7           	5.566029e-03
2.725         	5.860612e-03
2.75          	6.099718e-03
2.775         	6.252737e-03
2.8           	6.300633e-03
2.825         	6.237022e-03
2.85          	6.054751e-03
2.875         	5.627009e-03
2.9           	4.588610e-03
2.925         	3.599927e-03
2.95          	2.676767e-03
2.975         	1.835360e-03
3             	1.128945e-03
3.025         	9.187103e-04
3.05          	1.238687e-03
3.075         	1.813356e-03
3.1           	2.447704e-03
3.125         	3.081765e-03
3.15          	3.690158e-03
3.175         	4.270503e-03
3.2           	4.685794e-03
3.225         	3.860814e-03
3.25          	3.085517e-03
3.275         	2.380716e-03
3.3           	1.769438e-03
3.325         	1.338985e-03
3.35          	1.218100e-03
3.375         	1.444207e-03
3.4           	1.848399e-03
3.425         	2.204009e-03
3.45          	2.731809e-03
3.475         	2.833945e-03
3.5           	2.760104e-03
3.525         	2.744692e-03
3.55          	2.785647e-03
3.575         	2.876703e-03
3.6           	3.009213e-03
3.625         	3.170633e-03
3.65          	3.361749e-03
3.675         	3.579983e-03
3.7           	3.799331e-03
3.725         	4.022324e-03
3.75          	4.257620e-03
3.775         	4.485749e-03
3.8           	4.607274e-03
3.825         	4.497777e-03
3.85          	4.372538e-03
3.875         	4.230780e-03
3.9           	4.062120e-03
3.925         	3.904920e-03
3.95          	3.724190e-03
3.975         	3.534969e-03
4             	3.368623e-03
4.025         	3.175973e-03
4.05          	2.977607e-03
4.075         	2.791123e-03
4.1           	2.548671e-03
4.125         	2.352202e-03
4.15          	2.197501e-03
4.175         	2.046687e-03
4.2           	1.892897e-03
4.225         	1.717632e-03
4.25          	1.555563e-03
4.275         	1.429798e-03
4.3           	1.359024e-03
4.325         	1.317356e-03
4.35          	1.299783e-03
4.375         	1.308342e-03
4.4           	1.346099e-03
4.425         	1.333611e-03
4.45          	1.317079e-03
4.475         	1.302678e-03
4.5           	1.291721e-03
4.525         	1.282779e-03
4.55          	1.275450e-03
4.575         	1.280055e-03
4.6           	1.304939e-03
4.625         	1.054211e-03
4.65          	5.214041e-04
4.675         	8.951939e-04
4.7           	1.516747e-03
4.725         	1.536345e-03
4.75          	1.489064e-03
4.775         	1.423124e-03
4.8           	6.182686e-04
4.825         	5.058468e-04
4.85          	1.245461e-03
4.875         	1.179055e-03
4.9           	1.111481e-03
4.925         	1.107744e-03
4.95          	1.201146e-03
4.975         	1.475550e-03
5             	1.905103e-03
