# Selection   : all
# Cells       : 1800
# Volume      : 7.372328e+01
# Time        	max(p)
0             	0.000000e+00
0.025         	6.353268e+00
0.05          	3.969209e+00
0.075         	3.367456e+00
0.1           	3.045642e+00
0.125         	2.811091e+00
0.15          	2.627088e+00
0.175         	2.480754e+00
0.2           	2.363419e+00
0.225         	2.268981e+00
0.25          	2.204540e+00
0.275         	2.162012e+00
0.3           	2.127948e+00
0.325         	2.100531e+00
0.35          	2.078341e+00
0.375         	2.060576e+00
0.4           	2.046513e+00
0.425         	2.035188e+00
0.45          	2.026509e+00
0.475         	2.020081e+00
0.5           	2.015390e+00
0.525         	2.013220e+00
0.55          	2.012039e+00
0.575         	2.012630e+00
0.6           	2.014291e+00
0.625         	2.016457e+00
0.65          	2.020609e+00
0.675         	2.024965e+00
0.7           	2.030247e+00
0.725         	2.034394e+00
0.75          	2.039512e+00
0.775         	2.043167e+00
0.8           	2.046613e+00
0.825         	2.049339e+00
0.85          	2.052097e+00
0.875         	2.054558e+00
0.9           	2.056690e+00
0.925         	2.058147e+00
0.95          	2.057717e+00
0.975         	2.060191e+00
1             	2.063601e+00
1.025         	2.066049e+00
1.05          	2.070122e+00
1.075         	2.072838e+00
1.1           	2.075183e+00
1.125         	2.077371e+00
1.15          	2.077791e+00
1.175         	2.078100e+00
1.2           	2.076670e+00
1.225         	2.075056e+00
1.25          	2.073362e+00
1.275         	2.071704e+00
1.3           	2.069478e+00
1.325         	2.066518e+00
1.35          	2.064692e+00
1.375         	2.061157e+00
1.4           	2.057253e+00
1.425         	2.053159e+00
1.45          	2.047446e+00
1.475         	2.040409e+00
1.5           	2.036698e+00
1.525         	2.028273e+00
1.55          	2.028491e+00
1.575         	2.025838e+00
1.6           	2.022434e+00
1.625         	2.023887e+00
1.65          	2.020978e+00
1.675         	2.021952e+00
1.7           	2.017880e+00
1.725         	2.014117e+00
1.75          	2.011534e+00
1.775         	2.012089e+00
1.8           	2.008697e+00
1.825         	2.005520e+00
1.85          	2.003030e+00
1.875         	2.000352e+00
1.9           	1.997698e+00
1.925         	1.995010e+00
1.95          	1.992723e+00
1.975         	1.990638e+00
2             	1.987953e+00
2.025         	1.985895e+00
2.05          	1.984696e+00
2.075         	1.981790e+00
2.1           	1.978451e+00
2.125         	1.978963e+00
2.15          	1.972192e+00
2.175         	1.969755e+00
2.2           	1.969913e+00
2.225         	1.969395e+00
2.25          	1.968931e+00
2.275         	1.967448e+00
2.3           	1.966890e+00
2.325         	1.966584e+00
2.35          	1.966357e+00
2.375         	1.965834e+00
2.4           	1.964855e+00
2.425         	1.962451e+00
2.45          	1.960996e+00
2.475         	1.959564e+00
2.5           	1.958475e+00
2.525         	1.958303e+00
2.55          	1.957985e+00
2.575         	1.957216e+00
2.6           	1.958929e+00
2.625         	1.958159e+00
2.65          	1.959665e+00
2.675         	1.961094e+00
2.7           	1.963758e+00
2.725         	1.965999e+00
2.75          	1.968566e+00
2.775         	1.971401e+00
2.8           	1.975522e+00
2.825         	1.976388e+00
2.85          	1.981807e+00
2.875         	1.984019e+00
2.9           	1.987851e+00
2.925         	1.992462e+00
2.95          	1.997211e+00
2.975         	2.001683e+00
3             	2.004929e+00
3.025         	2.007488e+00
3.05          	2.011792e+00
3.075         	2.015792e+00
3.1           	2.020001e+00
3.125         	2.024572e+00
3.15          	2.028240e+00
3.175         	2.032845e+00
3.2           	2.037443e+00
3.225         	2.041615e+00
3.25          	2.045519e+00
3.275         	2.049000e+00
3.3           	2.053075e+00
3.325         	2.057298e+00
3.35          	2.063496e+00
3.375         	2.066122e+00
3.4           	2.069454e+00
3.425         	2.075734e+00
3.45          	2.080264e+00
3.475         	2.085098e+00
3.5           	2.089023e+00
3.525         	2.091916e+00
3.55          	2.095980e+00
3.575         	2.102191e+00
3.6           	2.105037e+00
3.625         	2.107680e+00
3.65          	2.112268e+00
3.675         	2.114733e+00
3.7           	2.120595e+00
3.725         	2.125363e+00
3.75          	2.130384e+00
3.775         	2.134460e+00
3.8           	2.139280e+00
3.825         	2.143324e+00
3.85          	2.146404e+00
3.875         	2.150804e+00
3.9           	2.155495e+00
3.925         	2.161054e+00
3.95          	2.165706e+00
3.975         	2.167925e+00
4             	2.171880e+00
4.025         	2.176081e+00
4.05          	2.187027e+00
4.075         	2.193679e+00
4.1           	2.194974e+00
4.125         	2.200932e+00
4.15          	2.205555e+00
4.175         	2.214446e+00
4.2           	2.214613e+00
4.225         	2.218749e+00
4.25          	2.225696e+00
4.275         	2.232081e+00
4.3           	2.236143e+00
4.325         	2.243122e+00
4.35          	2.248067e+00
4.375         	2.256645e+00
4.4           	2.261179e+00
4.425         	2.270186e+00
4.45          	2.275905e+00
4.475         	2.283428e+00
4.5           	2.291981e+00
4.525         	2.298844e+00
4.55          	2.307240e+00
4.575         	2.314802e+00
4.6           	2.320507e+00
4.625         	2.330756e+00
4.65          	2.340148e+00
4.675         	2.349069e+00
4.7           	2.351826e+00
4.725         	2.356706e+00
4.75          	2.362417e+00
4.775         	2.365002e+00
4.8           	2.377618e+00
4.825         	2.381343e+00
4.85          	2.386429e+00
4.875         	2.389366e+00
4.9           	2.391161e+00
4.925         	2.399494e+00
4.95          	2.405852e+00
4.975         	2.407328e+00
5             	2.411462e+00
