# Selection   : all
# Cells       : 1800
# Volume      : 7.372328e+01
# Time        	min(p)
0             	0.000000e+00
0.025         	-2.510474e+00
0.05          	-2.621519e+00
0.075         	-2.741095e+00
0.1           	-2.856110e+00
0.125         	-2.946255e+00
0.15          	-3.011360e+00
0.175         	-3.056005e+00
0.2           	-3.085911e+00
0.225         	-3.102791e+00
0.25          	-3.108070e+00
0.275         	-3.103697e+00
0.3           	-3.091344e+00
0.325         	-3.072513e+00
0.35          	-3.048483e+00
0.375         	-3.019825e+00
0.4           	-2.987209e+00
0.425         	-2.952105e+00
0.45          	-2.914157e+00
0.475         	-2.873760e+00
0.5           	-2.831705e+00
0.525         	-2.786108e+00
0.55          	-2.739711e+00
0.575         	-2.691094e+00
0.6           	-2.641152e+00
0.625         	-2.591277e+00
0.65          	-2.538059e+00
0.675         	-2.485192e+00
0.7           	-2.431295e+00
0.725         	-2.380257e+00
0.75          	-2.327450e+00
0.775         	-2.277853e+00
0.8           	-2.229158e+00
0.825         	-2.182682e+00
0.85          	-2.136396e+00
0.875         	-2.113097e+00
0.9           	-2.118171e+00
0.925         	-2.123618e+00
0.95          	-2.130870e+00
0.975         	-2.135378e+00
1             	-2.139252e+00
1.025         	-2.143879e+00
1.05          	-2.147145e+00
1.075         	-2.151063e+00
1.1           	-2.155236e+00
1.125         	-2.158739e+00
1.15          	-2.163239e+00
1.175         	-2.167283e+00
1.2           	-2.172858e+00
1.225         	-2.177649e+00
1.25          	-2.182259e+00
1.275         	-2.186420e+00
1.3           	-2.191137e+00
1.325         	-2.195874e+00
1.35          	-2.200190e+00
1.375         	-2.205478e+00
1.4           	-2.210902e+00
1.425         	-2.216410e+00
1.45          	-2.222955e+00
1.475         	-2.230450e+00
1.5           	-2.235163e+00
1.525         	-2.243150e+00
1.55          	-2.243810e+00
1.575         	-2.246450e+00
1.6           	-2.249642e+00
1.625         	-2.248364e+00
1.65          	-2.250852e+00
1.675         	-2.249900e+00
1.7           	-2.252768e+00
1.725         	-2.254621e+00
1.75          	-2.256898e+00
1.775         	-2.254391e+00
1.8           	-2.255583e+00
1.825         	-2.256499e+00
1.85          	-2.256597e+00
1.875         	-2.256484e+00
1.9           	-2.256325e+00
1.925         	-2.255962e+00
1.95          	-2.254910e+00
1.975         	-2.253252e+00
2             	-2.252625e+00
2.025         	-2.250907e+00
2.05          	-2.248797e+00
2.075         	-2.246573e+00
2.1           	-2.245829e+00
2.125         	-2.241273e+00
2.15          	-2.243306e+00
2.175         	-2.241346e+00
2.2           	-2.236849e+00
2.225         	-2.232838e+00
2.25          	-2.228678e+00
2.275         	-2.225310e+00
2.3           	-2.221018e+00
2.325         	-2.216399e+00
2.35          	-2.211632e+00
2.375         	-2.207131e+00
2.4           	-2.203226e+00
2.425         	-2.199932e+00
2.45          	-2.196336e+00
2.475         	-2.192621e+00
2.5           	-2.188346e+00
2.525         	-2.182220e+00
2.55          	-2.176461e+00
2.575         	-2.172134e+00
2.6           	-2.163760e+00
2.625         	-2.159576e+00
2.65          	-2.151457e+00
2.675         	-2.143541e+00
2.7           	-2.134222e+00
2.725         	-2.125094e+00
2.75          	-2.115522e+00
2.775         	-2.105455e+00
2.8           	-2.094406e+00
2.825         	-2.085085e+00
2.85          	-2.071678e+00
2.875         	-2.061992e+00
2.9           	-2.050161e+00
2.925         	-2.037576e+00
2.95          	-2.024857e+00
2.975         	-2.011958e+00
3             	-2.000170e+00
3.025         	-1.989926e+00
3.05          	-1.977466e+00
3.075         	-1.979991e+00
3.1           	-1.994161e+00
3.125         	-2.007325e+00
3.15          	-2.019546e+00
3.175         	-2.031390e+00
3.2           	-2.042976e+00
3.225         	-2.055553e+00
3.25          	-2.067258e+00
3.275         	-2.081272e+00
3.3           	-2.083762e+00
3.325         	-2.092075e+00
3.35          	-2.095956e+00
3.375         	-2.100672e+00
3.4           	-2.102261e+00
3.425         	-2.102088e+00
3.45          	-2.103416e+00
3.475         	-2.101851e+00
3.5           	-2.096626e+00
3.525         	-2.091859e+00
3.55          	-2.087041e+00
3.575         	-2.083553e+00
3.6           	-2.073337e+00
3.625         	-2.067307e+00
3.65          	-2.056960e+00
3.675         	-2.048919e+00
3.7           	-2.038512e+00
3.725         	-2.024101e+00
3.75          	-2.005827e+00
3.775         	-1.990219e+00
3.8           	-1.974767e+00
3.825         	-1.951536e+00
3.85          	-1.934539e+00
3.875         	-1.916052e+00
3.9           	-1.895394e+00
3.925         	-1.877908e+00
3.95          	-1.885265e+00
3.975         	-1.899221e+00
4             	-1.912233e+00
4.025         	-1.924149e+00
4.05          	-1.929126e+00
4.075         	-1.937604e+00
4.1           	-1.951199e+00
4.125         	-1.961288e+00
4.15          	-1.968678e+00
4.175         	-1.974042e+00
4.2           	-1.986379e+00
4.225         	-1.993928e+00
4.25          	-1.999749e+00
4.275         	-2.006026e+00
4.3           	-2.009906e+00
4.325         	-2.014505e+00
4.35          	-2.019504e+00
4.375         	-2.018735e+00
4.4           	-2.024265e+00
4.425         	-2.023683e+00
4.45          	-2.024999e+00
4.475         	-2.025722e+00
4.5           	-2.032806e+00
4.525         	-2.032306e+00
4.55          	-2.034885e+00
4.575         	-2.039050e+00
4.6           	-2.040140e+00
4.625         	-2.031239e+00
4.65          	-2.025371e+00
4.675         	-2.023694e+00
4.7           	-2.019229e+00
4.725         	-2.015022e+00
4.75          	-2.016601e+00
4.775         	-2.016142e+00
4.8           	-1.989705e+00
4.825         	-1.983329e+00
4.85          	-1.973138e+00
4.875         	-1.963175e+00
4.9           	-1.956638e+00
4.925         	-1.938914e+00
4.95          	-1.926368e+00
4.975         	-1.917550e+00
5             	-1.902950e+00
