# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-5.966519e-02	8.086858e+00	1.899862e+00	8.902659e-01	1.009596e+00
1.005         	-5.985410e-02	8.085745e+00	1.924254e+00	9.022731e-01	1.021981e+00
1.01          	-6.003957e-02	8.090465e+00	1.949406e+00	9.146636e-01	1.034743e+00
1.015         	-6.022159e-02	8.092683e+00	1.975612e+00	9.275843e-01	1.048027e+00
1.02          	-6.040017e-02	8.090030e+00	2.004399e+00	9.417993e-01	1.062600e+00
1.025         	-6.057530e-02	8.086875e+00	2.032180e+00	9.555145e-01	1.076665e+00
1.03          	-6.074701e-02	8.105337e+00	2.043764e+00	9.611351e-01	1.082629e+00
1.035         	-6.091529e-02	8.139128e+00	2.053803e+00	9.659862e-01	1.087817e+00
1.04          	-6.108014e-02	8.155091e+00	2.090746e+00	9.842930e-01	1.106453e+00
1.045         	-6.124157e-02	8.160499e+00	2.114949e+00	9.962328e-01	1.118716e+00
1.05          	-6.139960e-02	8.164733e+00	2.139768e+00	1.008484e+00	1.131284e+00
1.055         	-6.155424e-02	8.167791e+00	2.165452e+00	1.021172e+00	1.144280e+00
1.06          	-6.170548e-02	8.169143e+00	2.192595e+00	1.034592e+00	1.158003e+00
1.065         	-6.185335e-02	8.167156e+00	2.223010e+00	1.049652e+00	1.173358e+00
1.07          	-6.199787e-02	8.159031e+00	2.259713e+00	1.067859e+00	1.191854e+00
1.075         	-6.213903e-02	8.177923e+00	2.263058e+00	1.069390e+00	1.193668e+00
1.08          	-6.227682e-02	8.186234e+00	2.276063e+00	1.075755e+00	1.200308e+00
1.085         	-6.241125e-02	8.212022e+00	2.272246e+00	1.073712e+00	1.198534e+00
1.09          	-6.254233e-02	8.231809e+00	2.294936e+00	1.084926e+00	1.210011e+00
1.095         	-6.267010e-02	8.245175e+00	2.309325e+00	1.091992e+00	1.217333e+00
1.1           	-6.279458e-02	8.248993e+00	2.332395e+00	1.103403e+00	1.228992e+00
