# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (1.345110e-07 5.571690e-08 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.005         	-2.444333e-05	3.325272e+03	1.105267e-02	5.501894e-03	5.550781e-03
0.01          	-5.056677e-05	1.167125e+01	-1.214330e+00	-6.072154e-01	-6.071143e-01
0.015         	-1.009378e-04	1.108176e+01	-1.187500e+00	-5.938508e-01	-5.936490e-01
0.02          	-1.648687e-04	1.098650e+01	-1.188945e+00	-5.946376e-01	-5.943078e-01
0.025         	-2.412245e-04	1.090117e+01	-1.180048e+00	-5.902653e-01	-5.897829e-01
0.03          	-3.299536e-04	1.082223e+01	-1.162393e+00	-5.815264e-01	-5.808665e-01
0.035         	-4.303635e-04	1.074824e+01	-1.149683e+00	-5.752718e-01	-5.744111e-01
0.04          	-5.394999e-04	1.067508e+01	-1.142666e+00	-5.718723e-01	-5.707933e-01
0.045         	-6.581842e-04	1.060162e+01	-1.134002e+00	-5.676592e-01	-5.663428e-01
0.05          	-7.849783e-04	1.052677e+01	-1.126216e+00	-5.638929e-01	-5.623230e-01
0.055         	-9.206536e-04	1.045019e+01	-1.118260e+00	-5.600505e-01	-5.582092e-01
0.06          	-1.063983e-03	1.037184e+01	-1.110457e+00	-5.562926e-01	-5.541646e-01
0.065         	-1.211394e-03	1.029213e+01	-1.102830e+00	-5.526262e-01	-5.502034e-01
0.07          	-1.367688e-03	1.021187e+01	-1.097314e+00	-5.500249e-01	-5.472895e-01
0.075         	-1.528850e-03	1.013151e+01	-1.091514e+00	-5.472856e-01	-5.442279e-01
0.08          	-1.695982e-03	1.005150e+01	-1.084411e+00	-5.439013e-01	-5.405093e-01
0.085         	-1.868056e-03	9.972016e+00	-1.077850e+00	-5.407928e-01	-5.370567e-01
0.09          	-2.045456e-03	9.893379e+00	-1.071276e+00	-5.376833e-01	-5.335923e-01
0.095         	-2.228001e-03	9.815712e+00	-1.064855e+00	-5.346557e-01	-5.301997e-01
0.1           	-2.414527e-03	9.739117e+00	-1.058626e+00	-5.317277e-01	-5.268986e-01
0.105         	-2.604974e-03	9.663738e+00	-1.052765e+00	-5.289874e-01	-5.237774e-01
0.11          	-2.800851e-03	9.589668e+00	-1.047288e+00	-5.264450e-01	-5.208433e-01
0.115         	-2.999972e-03	9.517015e+00	-1.042198e+00	-5.240991e-01	-5.180992e-01
0.12          	-3.203817e-03	9.445842e+00	-1.037497e+00	-5.219523e-01	-5.155447e-01
0.125         	-3.411409e-03	9.376216e+00	-1.033069e+00	-5.199461e-01	-5.131233e-01
0.13          	-3.622847e-03	9.308208e+00	-1.028863e+00	-5.180543e-01	-5.108086e-01
0.135         	-3.837869e-03	9.241842e+00	-1.024892e+00	-5.162838e-01	-5.086080e-01
0.14          	-4.056395e-03	9.177110e+00	-1.021178e+00	-5.146454e-01	-5.065327e-01
0.145         	-4.279096e-03	9.113992e+00	-1.017752e+00	-5.131549e-01	-5.045967e-01
0.15          	-4.504710e-03	9.052474e+00	-1.014577e+00	-5.117931e-01	-5.027837e-01
0.155         	-4.733632e-03	8.992514e+00	-1.011638e+00	-5.105525e-01	-5.010853e-01
0.16          	-4.966475e-03	8.934477e+00	-1.008925e+00	-5.094287e-01	-4.994958e-01
0.165         	-5.203137e-03	8.877779e+00	-1.006499e+00	-5.084527e-01	-4.980465e-01
0.17          	-5.442242e-03	8.822514e+00	-1.004098e+00	-5.074910e-01	-4.966065e-01
0.175         	-5.685728e-03	8.768694e+00	-1.001572e+00	-5.064719e-01	-4.951004e-01
0.18          	-5.931947e-03	8.716247e+00	-9.990014e-01	-5.054326e-01	-4.935687e-01
0.185         	-6.180689e-03	8.665744e+00	-1.001114e+00	-5.067375e-01	-4.943761e-01
0.19          	-6.433518e-03	8.616173e+00	-9.961630e-01	-5.045150e-01	-4.916480e-01
0.195         	-6.689626e-03	8.568261e+00	-9.927725e-01	-5.030759e-01	-4.896966e-01
0.2           	-6.948792e-03	8.521699e+00	-9.879855e-01	-5.009415e-01	-4.870440e-01
0.205         	-7.210905e-03	8.476563e+00	-9.847241e-01	-4.995730e-01	-4.851511e-01
0.21          	-7.475894e-03	8.432996e+00	-9.797483e-01	-4.973500e-01	-4.823982e-01
0.215         	-7.743673e-03	8.390419e+00	-9.718955e-01	-4.936914e-01	-4.782041e-01
0.22          	-8.014725e-03	8.349275e+00	-9.654537e-01	-4.907416e-01	-4.747121e-01
0.225         	-8.289306e-03	8.309755e+00	-9.580973e-01	-4.873380e-01	-4.707593e-01
0.23          	-8.566127e-03	8.271419e+00	-9.508238e-01	-4.839780e-01	-4.668458e-01
0.235         	-8.847159e-03	8.234439e+00	-9.462341e-01	-4.819642e-01	-4.642699e-01
0.24          	-9.131098e-03	8.198553e+00	-9.386288e-01	-4.784455e-01	-4.601833e-01
0.245         	-9.418015e-03	8.163878e+00	-9.307601e-01	-4.747981e-01	-4.559620e-01
0.25          	-9.707934e-03	8.130405e+00	-9.226977e-01	-4.710568e-01	-4.516409e-01
0.255         	-1.000003e-02	8.098096e+00	-9.143525e-01	-4.671763e-01	-4.471762e-01
0.26          	-1.029518e-02	8.066916e+00	-9.056832e-01	-4.631368e-01	-4.425464e-01
0.265         	-1.059455e-02	8.036838e+00	-8.967073e-01	-4.589482e-01	-4.377591e-01
0.27          	-1.089564e-02	8.007836e+00	-8.874217e-01	-4.546065e-01	-4.328152e-01
0.275         	-1.119955e-02	7.979883e+00	-8.778415e-01	-4.501203e-01	-4.277212e-01
0.28          	-1.150742e-02	7.952940e+00	-8.679791e-01	-4.454970e-01	-4.224821e-01
0.285         	-1.181742e-02	7.927002e+00	-8.578470e-01	-4.407409e-01	-4.171061e-01
0.29          	-1.212972e-02	7.902039e+00	-8.474674e-01	-4.358634e-01	-4.116040e-01
0.295         	-1.244605e-02	7.878028e+00	-8.368333e-01	-4.308627e-01	-4.059706e-01
0.3           	-1.276455e-02	7.854892e+00	-8.259974e-01	-4.257632e-01	-4.002341e-01
0.305         	-1.308562e-02	7.832632e+00	-8.148394e-01	-4.205053e-01	-3.943341e-01
0.31          	-1.340913e-02	7.811387e+00	-8.038982e-01	-4.153582e-01	-3.885400e-01
0.315         	-1.373633e-02	7.790967e+00	-7.927204e-01	-4.100965e-01	-3.826238e-01
0.32          	-1.406576e-02	7.771434e+00	-7.813896e-01	-4.047606e-01	-3.766290e-01
0.325         	-1.439722e-02	7.752795e+00	-7.694585e-01	-3.991264e-01	-3.703320e-01
0.33          	-1.473159e-02	7.735569e+00	-7.589376e-01	-3.942004e-01	-3.647372e-01
0.335         	-1.506759e-02	7.718464e+00	-7.459105e-01	-3.880228e-01	-3.578876e-01
0.34          	-1.540638e-02	7.702277e+00	-7.322932e-01	-3.815530e-01	-3.507402e-01
0.345         	-1.574843e-02	7.686866e+00	-7.194993e-01	-3.754981e-01	-3.440012e-01
