# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((3.321269e+03 1.271766e-02 -6.452122e-16) (4.001419e+00 -9.053531e-04 1.068001e-17)) ((-3.370483e-16 5.270681e-16 -1.982315e-04) (-3.780174e-18 -1.459075e-18 -3.613880e-05))
0.01          	((7.717846e+00 -1.210998e+00 1.827636e-19) (3.953401e+00 -3.330215e-03 2.314604e-18)) ((6.103665e-19 -2.429402e-20 1.440947e-06) (2.045643e-18 -9.609640e-19 -1.034124e-04))
0.015         	((7.175908e+00 -1.181693e+00 2.106202e-19) (3.905854e+00 -5.801338e-03 2.308093e-18)) ((6.036903e-19 -5.577853e-20 1.368147e-06) (2.421713e-18 -1.022872e-18 -2.033455e-04))
0.02          	((7.127177e+00 -1.180970e+00 2.126072e-19) (3.859320e+00 -7.967366e-03 2.354427e-18)) ((5.901646e-19 -5.435048e-20 1.365536e-06) (2.777002e-18 -1.080544e-18 -3.315097e-04))
0.025         	((7.087477e+00 -1.170068e+00 2.182413e-19) (3.813699e+00 -9.980569e-03 2.402398e-18)) ((5.892646e-19 -5.428241e-20 1.367880e-06) (3.068188e-18 -1.132774e-18 -4.854574e-04))
0.03          	((7.053307e+00 -1.150546e+00 2.232003e-19) (3.768916e+00 -1.184721e-02 2.448962e-18)) ((5.943947e-19 -5.319771e-20 1.379249e-06) (3.310416e-18 -1.179404e-18 -6.630150e-04))
0.035         	((7.023318e+00 -1.136104e+00 2.273729e-19) (3.724922e+00 -1.358220e-02 2.488823e-18)) ((6.012844e-19 -5.228294e-20 1.395064e-06) (3.514383e-18 -1.219107e-18 -8.622374e-04))
0.04          	((6.993390e+00 -1.127467e+00 2.306294e-19) (3.681687e+00 -1.520225e-02 2.520199e-18)) ((6.067309e-19 -5.171098e-20 1.406032e-06) (3.688357e-18 -1.251722e-18 -1.081400e-03))
0.045         	((6.962419e+00 -1.117298e+00 2.339260e-19) (3.639197e+00 -1.670178e-02 2.543192e-18)) ((6.101955e-19 -5.155334e-20 1.409999e-06) (3.838763e-18 -1.277311e-18 -1.318891e-03))
0.05          	((6.929327e+00 -1.108125e+00 2.371894e-19) (3.597441e+00 -1.808954e-02 2.558605e-18)) ((6.116868e-19 -5.189410e-20 1.410811e-06) (3.970136e-18 -1.296374e-18 -1.573274e-03))
0.055         	((6.893784e+00 -1.098885e+00 2.402536e-19) (3.556412e+00 -1.937687e-02 2.567269e-18)) ((6.116084e-19 -5.253586e-20 1.410350e-06) (4.085759e-18 -1.309513e-18 -1.843295e-03))
0.06          	((6.855733e+00 -1.089885e+00 2.429298e-19) (3.516104e+00 -2.057499e-02 2.569996e-18)) ((6.103791e-19 -5.325247e-20 1.409476e-06) (4.188013e-18 -1.317391e-18 -2.127871e-03))
0.065         	((6.815628e+00 -1.081140e+00 2.451571e-19) (3.476510e+00 -2.169317e-02 2.567511e-18)) ((6.083200e-19 -5.391999e-20 1.408626e-06) (4.278667e-18 -1.320631e-18 -2.426053e-03))
