# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
1.5           	((7.276822e+00 3.593472e+00 8.251569e-19) (1.176484e+00 2.130144e-01 1.800169e-18)) ((3.573519e-19 -6.443530e-19 1.376393e-06) (4.576095e-18 -3.514900e-19 -1.279734e-01))
1.505         	((7.276638e+00 3.604562e+00 8.250451e-19) (1.175719e+00 2.145735e-01 1.808207e-18)) ((3.564382e-19 -6.446804e-19 1.368778e-06) (4.574146e-18 -3.545055e-19 -1.278369e-01))
1.51          	((7.282753e+00 3.620257e+00 8.271722e-19) (1.174967e+00 2.161337e-01 1.816045e-18)) ((3.563225e-19 -6.468107e-19 1.362175e-06) (4.572141e-18 -3.573974e-19 -1.276977e-01))
1.515         	((7.287568e+00 3.634358e+00 8.287554e-19) (1.174225e+00 2.176928e-01 1.823740e-18)) ((3.560502e-19 -6.484938e-19 1.355419e-06) (4.570133e-18 -3.601742e-19 -1.275557e-01))
1.52          	((7.291717e+00 3.647897e+00 8.300338e-19) (1.173494e+00 2.192504e-01 1.831295e-18)) ((3.556343e-19 -6.499422e-19 1.348729e-06) (4.568133e-18 -3.628437e-19 -1.274110e-01))
1.525         	((7.295428e+00 3.661024e+00 8.310922e-19) (1.172771e+00 2.208059e-01 1.838716e-18)) ((3.551184e-19 -6.512199e-19 1.342065e-06) (4.566145e-18 -3.654125e-19 -1.272636e-01))
1.53          	((7.298830e+00 3.673807e+00 8.319814e-19) (1.172058e+00 2.223589e-01 1.846007e-18)) ((3.545289e-19 -6.523638e-19 1.335406e-06) (4.564169e-18 -3.678856e-19 -1.271137e-01))
1.535         	((7.301914e+00 3.686681e+00 8.327551e-19) (1.171352e+00 2.239095e-01 1.853174e-18)) ((3.538873e-19 -6.534497e-19 1.328782e-06) (4.562213e-18 -3.702658e-19 -1.269611e-01))
1.54          	((7.304866e+00 3.699113e+00 8.334128e-19) (1.170655e+00 2.254573e-01 1.860217e-18)) ((3.532031e-19 -6.544248e-19 1.322125e-06) (4.560273e-18 -3.725568e-19 -1.268060e-01))
1.545         	((7.307672e+00 3.711375e+00 8.339877e-19) (1.169966e+00 2.270021e-01 1.867137e-18)) ((3.524905e-19 -6.553358e-19 1.315459e-06) (4.558349e-18 -3.747613e-19 -1.266484e-01))
1.55          	((7.310357e+00 3.723487e+00 8.344924e-19) (1.169284e+00 2.285437e-01 1.873936e-18)) ((3.517562e-19 -6.561923e-19 1.308780e-06) (4.556443e-18 -3.768815e-19 -1.264883e-01))
1.555         	((7.312940e+00 3.735464e+00 8.349361e-19) (1.168610e+00 2.300820e-01 1.880617e-18)) ((3.510050e-19 -6.570014e-19 1.302088e-06) (4.554554e-18 -3.789196e-19 -1.263258e-01))
1.56          	((7.315435e+00 3.747314e+00 8.353260e-19) (1.167943e+00 2.316168e-01 1.887179e-18)) ((3.502405e-19 -6.577684e-19 1.295379e-06) (4.552683e-18 -3.808776e-19 -1.261609e-01))
1.565         	((7.317853e+00 3.759047e+00 8.356657e-19) (1.167283e+00 2.331481e-01 1.893624e-18)) ((3.494648e-19 -6.584959e-19 1.288653e-06) (4.550830e-18 -3.827573e-19 -1.259937e-01))
1.57          	((7.320200e+00 3.770669e+00 8.359572e-19) (1.166631e+00 2.346757e-01 1.899953e-18)) ((3.486788e-19 -6.591852e-19 1.281910e-06) (4.548995e-18 -3.845603e-19 -1.258240e-01))
1.575         	((7.322482e+00 3.782184e+00 8.362034e-19) (1.165985e+00 2.361997e-01 1.906167e-18)) ((3.478842e-19 -6.598386e-19 1.275150e-06) (4.547178e-18 -3.862883e-19 -1.256521e-01))
1.58          	((7.324704e+00 3.793598e+00 8.364069e-19) (1.165346e+00 2.377198e-01 1.912268e-18)) ((3.470823e-19 -6.604577e-19 1.268372e-06) (4.545379e-18 -3.879426e-19 -1.254779e-01))
1.585         	((7.326874e+00 3.804917e+00 8.365715e-19) (1.164714e+00 2.392360e-01 1.918254e-18)) ((3.462755e-19 -6.610451e-19 1.261581e-06) (4.543599e-18 -3.895240e-19 -1.253015e-01))
1.59          	((7.328992e+00 3.816149e+00 8.367009e-19) (1.164088e+00 2.407483e-01 1.924127e-18)) ((3.454663e-19 -6.616036e-19 1.254780e-06) (4.541836e-18 -3.910335e-19 -1.251228e-01))
1.595         	((7.331061e+00 3.827290e+00 8.367998e-19) (1.163469e+00 2.422566e-01 1.929887e-18)) ((3.446566e-19 -6.621372e-19 1.247975e-06) (4.540091e-18 -3.924723e-19 -1.249420e-01))
1.6           	((7.333102e+00 3.838293e+00 8.368788e-19) (1.162857e+00 2.437607e-01 1.935535e-18)) ((3.438482e-19 -6.626559e-19 1.241179e-06) (4.538363e-18 -3.938411e-19 -1.247590e-01))
