time,model,err_U,err_p
0.2,FOM,,
0.3,FOM,,
0.4,FOM,,
0.5,FOM,,
0.6,FOM,,
0.7,FOM,,
0.8,FOM,,
0.9,FOM,,
1.0,FOM,,
1.1,FOM,,
1.2,FOM,,
1.3,FOM,,
1.4,FOM,,
1.5,FOM,,
1.6,FOM,,
1.7,FOM,,
1.8,FOM,,
1.9,FOM,,
2.0,FOM,,
2.1,FOM,,
2.2,FOM,,
2.3,FOM,,
2.4,FOM,,
2.5,FOM,,
2.6,FOM,,
2.7,FOM,,
2.8,FOM,,
2.9,FOM,,
3.0,FOM,,
3.1,FOM,,
3.2,FOM,,
3.3,FOM,,
3.4,FOM,,
3.5,FOM,,
3.6,FOM,,
3.7,FOM,,
3.8,FOM,,
3.9,FOM,,
4.005,ROM,0.0024040906480532935,0.42109741216327384
4.105,FOM,,
4.21,ROM,0.0017992182866404592,0.2221559729062983
4.31,FOM,,
4.41,FOM,,
4.51,FOM,,
4.615,ROM,0.0012523398386344693,0.19412607753262395
4.715,FOM,,
4.815,FOM,,
4.915,FOM,,
5.015,FOM,,
5.115,FOM,,
5.215,FOM,,
5.315,FOM,,
5.415,FOM,,
5.515,FOM,,
5.615,FOM,,
5.715,FOM,,
5.815,FOM,,
5.915,FOM,,
6.015,FOM,,
6.115,FOM,,
6.215,FOM,,
6.315,FOM,,
6.415,FOM,,
6.515,FOM,,
6.615,FOM,,
6.715,FOM,,
6.815,FOM,,
6.915,FOM,,
7.015,FOM,,
7.115,FOM,,
7.215,FOM,,
7.315,FOM,,
7.415,FOM,,
7.515,FOM,,
7.615,FOM,,
7.715,FOM,,
7.815,FOM,,
7.915,FOM,,
8.015,FOM,,
8.115,FOM,,
8.215,FOM,,
8.315,FOM,,
8.415,FOM,,
8.515,FOM,,
8.615,FOM,,
8.715,FOM,,
8.815,FOM,,
8.915,FOM,,
9.015,FOM,,
9.115,FOM,,
9.215,FOM,,
9.315,FOM,,
9.415,FOM,,
9.62,FOM,0.010546207156310959,3.5206928751355693
9.72,FOM,,
9.82,FOM,,
9.925,ROM,0.005741405720796568,0.5769182773873168
10.0,FOM,,
