# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	maxMag(U)
0             	0.000000e+00
0.05          	2.772936e+00
0.1           	2.841743e+00
0.15          	2.877180e+00
0.2           	2.892811e+00
0.25          	2.916713e+00
0.3           	2.944266e+00
0.35          	2.958337e+00
0.4           	2.960235e+00
0.45          	2.951948e+00
0.5           	2.953580e+00
0.55          	2.948466e+00
0.6           	2.935381e+00
0.65          	2.916097e+00
0.7           	2.892556e+00
0.75          	2.894104e+00
0.8           	2.892143e+00
0.85          	2.883280e+00
0.9           	2.886729e+00
0.95          	2.889795e+00
1             	2.885454e+00
1.05          	2.874602e+00
1.1           	2.858302e+00
1.15          	2.837707e+00
1.2           	2.813553e+00
1.25          	2.786395e+00
1.3           	2.756733e+00
1.35          	2.725109e+00
1.4           	2.691837e+00
1.45          	2.669748e+00
1.5           	2.665490e+00
1.55          	2.661710e+00
1.6           	2.658110e+00
1.65          	2.654401e+00
1.7           	2.650345e+00
1.75          	2.645921e+00
1.8           	2.641124e+00
1.85          	2.635964e+00
1.9           	2.630408e+00
1.95          	2.624476e+00
2             	2.618237e+00
2.05          	2.611819e+00
2.1           	2.605327e+00
2.15          	2.602304e+00
2.2           	2.618927e+00
2.25          	2.635088e+00
2.3           	2.650721e+00
2.35          	2.665853e+00
2.4           	2.680425e+00
2.45          	2.694576e+00
2.5           	2.708335e+00
2.55          	2.721707e+00
2.6           	2.734628e+00
2.65          	2.747016e+00
2.7           	2.758734e+00
2.75          	2.769672e+00
2.8           	2.779755e+00
2.85          	2.788783e+00
2.9           	2.796791e+00
2.95          	2.803833e+00
3             	2.809894e+00
3.05          	2.815041e+00
3.1           	2.819298e+00
3.15          	2.822706e+00
3.2           	2.825290e+00
3.25          	2.827053e+00
3.3           	2.827989e+00
3.35          	2.828081e+00
3.4           	2.827371e+00
3.45          	2.825792e+00
3.5           	2.823303e+00
3.55          	2.819891e+00
3.6           	2.815572e+00
3.65          	2.810383e+00
3.7           	2.804171e+00
3.75          	2.797336e+00
3.8           	2.789837e+00
3.85          	2.781714e+00
3.9           	2.773042e+00
3.95          	2.763848e+00
4             	2.754216e+00
4.05          	2.744265e+00
4.1           	2.734278e+00
4.15          	2.723958e+00
4.2           	2.713408e+00
4.25          	2.702677e+00
4.3           	2.691834e+00
4.35          	2.680972e+00
4.4           	2.670317e+00
4.45          	2.659776e+00
4.5           	2.660443e+00
4.55          	2.668638e+00
4.6           	2.676869e+00
4.65          	2.685151e+00
4.7           	2.693453e+00
4.75          	2.701769e+00
4.8           	2.710064e+00
4.85          	2.718239e+00
4.9           	2.726339e+00
4.95          	2.734367e+00
5             	2.742305e+00
5.05          	2.750098e+00
5.1           	2.757766e+00
5.15          	2.765341e+00
5.2           	2.772700e+00
5.25          	2.779822e+00
5.3           	2.786718e+00
5.35          	2.793394e+00
5.4           	2.799867e+00
5.45          	2.806090e+00
