# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	minMag(U)
0             	0.000000e+00
0.05          	7.175060e-02
0.1           	5.053494e-02
0.15          	3.411727e-02
0.2           	2.162807e-02
0.25          	1.381348e-02
0.3           	1.382053e-02
0.35          	1.875882e-02
0.4           	1.332067e-02
0.45          	1.431329e-02
0.5           	1.866212e-02
0.55          	1.340015e-02
0.6           	1.411739e-02
0.65          	1.599252e-02
0.7           	1.485982e-02
0.75          	4.027624e-02
0.8           	1.158015e-02
0.85          	2.769275e-02
0.9           	4.124416e-02
0.95          	1.594305e-02
1             	2.430699e-02
1.05          	3.526463e-02
1.1           	1.470404e-02
1.15          	3.455090e-03
1.2           	1.915834e-02
1.25          	1.396658e-02
1.3           	4.475013e-02
1.35          	5.513902e-02
1.4           	5.744825e-02
1.45          	5.176557e-02
1.5           	4.582774e-02
1.55          	3.980547e-02
1.6           	3.477108e-02
1.65          	3.214254e-02
1.7           	3.297715e-02
1.75          	3.713069e-02
1.8           	4.342414e-02
1.85          	5.086709e-02
1.9           	5.568988e-02
1.95          	4.655685e-02
2             	2.534106e-02
2.05          	2.453910e-02
2.1           	2.166817e-02
2.15          	1.436050e-02
2.2           	7.774013e-03
2.25          	3.628290e-03
2.3           	6.693942e-03
2.35          	1.188870e-02
2.4           	1.683534e-02
2.45          	2.141142e-02
2.5           	2.311876e-02
2.55          	2.467720e-02
2.6           	2.714775e-02
2.65          	2.995238e-02
2.7           	3.258906e-02
2.75          	3.482088e-02
2.8           	3.486830e-02
2.85          	3.320786e-02
2.9           	3.163182e-02
2.95          	3.013151e-02
3             	2.863215e-02
3.05          	2.719429e-02
3.1           	2.579589e-02
3.15          	2.445717e-02
3.2           	2.317629e-02
3.25          	2.194158e-02
3.3           	2.075677e-02
3.35          	1.961883e-02
3.4           	1.862310e-02
3.45          	1.771798e-02
3.5           	1.683852e-02
3.55          	1.599848e-02
3.6           	1.520908e-02
3.65          	1.442824e-02
3.7           	1.355317e-02
3.75          	1.294805e-02
3.8           	1.240409e-02
3.85          	1.197652e-02
3.9           	1.170541e-02
3.95          	1.145485e-02
4             	1.129018e-02
4.05          	1.123261e-02
4.1           	1.133829e-02
4.15          	1.147988e-02
4.2           	1.170841e-02
4.25          	1.198572e-02
4.3           	1.236207e-02
4.35          	1.287344e-02
4.4           	1.342435e-02
4.45          	1.407658e-02
4.5           	1.483643e-02
4.55          	1.467188e-02
4.6           	1.658182e-02
4.65          	1.755322e-02
4.7           	1.859508e-02
4.75          	1.968183e-02
4.8           	2.071454e-02
4.85          	2.206958e-02
4.9           	1.691725e-02
4.95          	1.913675e-02
5             	2.698512e-02
5.05          	2.805920e-02
5.1           	2.853570e-02
5.15          	2.849285e-02
5.2           	1.860387e-02
5.25          	1.723116e-02
5.3           	1.550173e-02
5.35          	1.214298e-02
5.4           	1.547682e-02
5.45          	2.071592e-02
5.5           	1.766195e-02
5.55          	1.436430e-02
5.6           	1.165196e-02
5.65          	1.009522e-02
5.7           	8.871335e-03
5.75          	8.116312e-03
5.8           	8.622436e-03
5.85          	9.728165e-03
5.9           	7.451634e-03
5.95          	6.574443e-03
6             	1.209294e-02
6.05          	1.210764e-02
6.1           	1.166098e-02
6.15          	1.089951e-02
6.2           	1.087683e-02
6.25          	1.275618e-02
6.3           	1.764238e-02
6.35          	2.592882e-02
6.4           	2.492984e-02
6.45          	2.352660e-02
6.5           	2.200439e-02
6.55          	2.039934e-02
6.6           	1.867237e-02
6.65          	1.692740e-02
6.7           	1.518956e-02
6.75          	1.344173e-02
6.8           	1.171360e-02
6.85          	1.001728e-02
6.9           	8.331729e-03
6.95          	6.703021e-03
7             	5.083007e-03
7.05          	3.601063e-03
7.1           	2.352881e-03
7.15          	2.375360e-03
7.2           	2.844595e-03
7.25          	3.252950e-03
7.3           	3.660898e-03
7.35          	4.114863e-03
7.4           	4.573113e-03
7.45          	5.019124e-03
7.5           	5.383458e-03
7.55          	5.630905e-03
7.6           	5.836834e-03
7.65          	6.075758e-03
7.7           	6.509979e-03
7.75          	6.596180e-03
7.8           	6.296408e-03
7.85          	6.031091e-03
7.9           	5.860126e-03
7.95          	5.458543e-03
8             	5.077998e-03
8.05          	4.684437e-03
8.1           	4.275890e-03
8.15          	3.960044e-03
8.2           	3.797339e-03
8.25          	3.830373e-03
8.3           	4.146187e-03
8.35          	4.744396e-03
8.4           	5.543610e-03
8.45          	6.470027e-03
8.5           	7.507670e-03
8.55          	8.626412e-03
8.6           	9.819055e-03
8.65          	1.099269e-02
8.7           	1.240489e-02
8.75          	1.387870e-02
8.8           	1.181238e-02
8.85          	9.297615e-03
8.9           	6.868573e-03
8.95          	4.564334e-03
9             	2.422844e-03
9.05          	4.674953e-04
9.1           	1.424221e-03
9.15          	3.296481e-03
9.2           	4.846503e-03
9.25          	5.940492e-03
9.3           	7.044429e-03
9.35          	8.147732e-03
9.4           	9.112271e-03
9.45          	1.000825e-02
9.5           	1.088161e-02
9.55          	1.159577e-02
9.6           	1.194379e-02
9.65          	1.273849e-02
9.7           	1.308968e-02
9.75          	1.191205e-02
9.8           	1.331449e-02
9.85          	1.318477e-02
9.9           	7.865214e-03
9.95          	8.095774e-03
10            	9.565125e-03
10.05         	1.151322e-02
10.1          	1.057371e-02
10.15         	9.728637e-03
10.2          	8.759676e-03
10.25         	7.816517e-03
10.3          	6.792956e-03
10.35         	5.909190e-03
10.4          	5.334385e-03
10.45         	5.192233e-03
10.5          	5.546235e-03
10.55         	6.338954e-03
10.6          	7.477615e-03
10.65         	8.901277e-03
10.7          	1.021951e-02
10.75         	1.165761e-02
10.8          	1.315994e-02
10.85         	1.486976e-02
10.9          	1.678142e-02
10.95         	1.875303e-02
11            	2.070815e-02
11.05         	2.250784e-02
11.1          	1.855058e-02
11.15         	1.448597e-02
11.2          	1.371274e-02
11.25         	1.693846e-02
11.3          	2.262245e-02
11.35         	2.952227e-02
11.4          	3.539514e-02
11.45         	3.720369e-02
11.5          	3.886506e-02
11.55         	3.832465e-02
11.6          	3.722061e-02
11.65         	3.580280e-02
11.7          	3.410594e-02
11.75         	3.212919e-02
11.8          	2.983731e-02
11.85         	2.721911e-02
11.9          	2.416336e-02
