# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	max(p)
0             	0.000000e+00
0.05          	4.256246e+00
0.1           	2.353567e+00
0.15          	2.030298e+00
0.2           	1.887467e+00
0.25          	1.806074e+00
0.3           	1.771200e+00
0.35          	1.751764e+00
0.4           	1.742599e+00
0.45          	1.740733e+00
0.5           	1.747363e+00
0.55          	1.752163e+00
0.6           	1.767534e+00
0.65          	1.778084e+00
0.7           	1.791299e+00
0.75          	1.800616e+00
0.8           	1.820374e+00
0.85          	1.839419e+00
0.9           	1.860568e+00
0.95          	1.878037e+00
1             	1.893833e+00
1.05          	1.908036e+00
1.1           	1.913314e+00
1.15          	1.930593e+00
1.2           	1.942732e+00
1.25          	1.951803e+00
1.3           	1.959162e+00
1.35          	1.965301e+00
1.4           	1.971030e+00
1.45          	1.975544e+00
1.5           	1.978356e+00
1.55          	1.978321e+00
1.6           	1.981821e+00
1.65          	1.986382e+00
1.7           	1.993070e+00
1.75          	1.993471e+00
1.8           	1.990003e+00
1.85          	1.984717e+00
1.9           	1.975444e+00
1.95          	1.962012e+00
2             	1.952536e+00
2.05          	1.939434e+00
2.1           	1.924720e+00
2.15          	1.909012e+00
2.2           	1.896412e+00
2.25          	1.884388e+00
2.3           	1.867023e+00
2.35          	1.894524e+00
2.4           	1.886197e+00
2.45          	1.880380e+00
2.5           	1.874099e+00
2.55          	1.868740e+00
2.6           	1.863644e+00
2.65          	1.859251e+00
2.7           	1.853255e+00
2.75          	1.848768e+00
2.8           	1.843916e+00
2.85          	1.842000e+00
2.9           	1.839417e+00
2.95          	1.840622e+00
3             	1.837406e+00
3.05          	1.835233e+00
3.1           	1.833708e+00
3.15          	1.831784e+00
3.2           	1.831095e+00
3.25          	1.829537e+00
3.3           	1.828641e+00
3.35          	1.827356e+00
3.4           	1.821485e+00
3.45          	1.815067e+00
3.5           	1.815104e+00
3.55          	1.816087e+00
3.6           	1.818539e+00
3.65          	1.812990e+00
3.7           	1.830000e+00
3.75          	1.828799e+00
3.8           	1.837533e+00
3.85          	1.847222e+00
3.9           	1.859423e+00
3.95          	1.870590e+00
4             	1.889942e+00
4.05          	1.898042e+00
4.1           	1.914588e+00
4.15          	1.929617e+00
4.2           	1.945572e+00
4.25          	1.962430e+00
4.3           	1.980964e+00
4.35          	1.998909e+00
4.4           	2.014980e+00
4.45          	2.031519e+00
4.5           	2.048464e+00
4.55          	2.064311e+00
4.6           	2.079801e+00
4.65          	2.097086e+00
4.7           	2.112388e+00
4.75          	2.127391e+00
4.8           	2.135861e+00
4.85          	2.158719e+00
4.9           	2.172336e+00
4.95          	2.185432e+00
5             	2.196413e+00
5.05          	2.214815e+00
5.1           	2.237651e+00
5.15          	2.250462e+00
5.2           	2.259716e+00
5.25          	2.275319e+00
5.3           	2.289635e+00
5.35          	2.303912e+00
5.4           	2.315926e+00
5.45          	2.320102e+00
5.5           	2.341529e+00
5.55          	2.350129e+00
5.6           	2.363714e+00
5.65          	2.374921e+00
5.7           	2.399810e+00
5.75          	2.399350e+00
5.8           	2.404090e+00
5.85          	2.413646e+00
5.9           	2.420963e+00
5.95          	2.430023e+00
6             	2.438257e+00
6.05          	2.446911e+00
6.1           	2.446317e+00
6.15          	2.456976e+00
6.2           	2.457509e+00
6.25          	2.453416e+00
6.3           	2.448667e+00
6.35          	2.464993e+00
6.4           	2.465923e+00
6.45          	2.469236e+00
6.5           	2.475853e+00
6.55          	2.482343e+00
6.6           	2.455555e+00
6.65          	2.462561e+00
6.7           	2.466340e+00
6.75          	2.469889e+00
6.8           	2.472583e+00
6.85          	2.476504e+00
6.9           	2.479032e+00
6.95          	2.497274e+00
7             	2.474480e+00
7.05          	2.479285e+00
7.1           	2.483391e+00
7.15          	2.490663e+00
7.2           	2.494667e+00
7.25          	2.491665e+00
7.3           	2.491054e+00
7.35          	2.487727e+00
7.4           	2.481598e+00
7.45          	2.464993e+00
7.5           	2.470945e+00
7.55          	2.462268e+00
7.6           	2.443854e+00
7.65          	2.429848e+00
7.7           	2.404037e+00
7.75          	2.407856e+00
7.8           	2.387048e+00
