# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	min(p)
0             	0.000000e+00
0.05          	-3.025857e+00
0.1           	-3.002128e+00
0.15          	-3.020445e+00
0.2           	-3.037065e+00
0.25          	-3.021262e+00
0.3           	-2.976562e+00
0.35          	-2.910230e+00
0.4           	-2.845916e+00
0.45          	-2.766767e+00
0.5           	-2.669681e+00
0.55          	-2.577755e+00
0.6           	-2.464337e+00
0.65          	-2.363047e+00
0.7           	-2.263640e+00
0.75          	-2.172998e+00
0.8           	-2.069709e+00
0.85          	-1.976865e+00
0.9           	-1.930890e+00
0.95          	-1.924865e+00
1             	-1.917790e+00
1.05          	-1.914840e+00
1.1           	-1.915606e+00
1.15          	-1.906067e+00
1.2           	-1.904542e+00
1.25          	-1.898943e+00
1.3           	-1.898558e+00
1.35          	-1.894814e+00
1.4           	-1.894081e+00
1.45          	-1.892503e+00
1.5           	-1.891715e+00
1.55          	-1.894285e+00
1.6           	-1.892256e+00
1.65          	-1.887380e+00
1.7           	-1.881076e+00
1.75          	-1.876479e+00
1.8           	-1.874753e+00
1.85          	-1.873455e+00
1.9           	-1.877577e+00
1.95          	-1.885014e+00
2             	-1.887483e+00
2.05          	-1.893366e+00
2.1           	-1.898983e+00
2.15          	-1.907387e+00
2.2           	-1.911776e+00
2.25          	-1.915467e+00
2.3           	-1.922656e+00
2.35          	-1.888943e+00
2.4           	-1.887558e+00
2.45          	-1.881982e+00
2.5           	-1.876217e+00
2.55          	-1.869242e+00
2.6           	-1.861814e+00
2.65          	-1.853090e+00
2.7           	-1.844312e+00
2.75          	-1.834364e+00
2.8           	-1.823702e+00
2.85          	-1.808859e+00
2.9           	-1.796166e+00
2.95          	-1.775717e+00
3             	-1.761881e+00
3.05          	-1.746477e+00
3.1           	-1.729260e+00
3.15          	-1.713714e+00
3.2           	-1.696030e+00
3.25          	-1.679100e+00
3.3           	-1.662305e+00
3.35          	-1.645426e+00
3.4           	-1.638205e+00
3.45          	-1.627946e+00
3.5           	-1.612509e+00
3.55          	-1.597191e+00
3.6           	-1.580472e+00
