time,err_U,err_p,abs_U,abs_p,metric,source
0,2394.731717492363,3018492.893093699,2.394731717492363e-05,0.03018492893093699,vol_weighted,rom_only
0.005,0.4319382156115938,0.487505558625187,4.181408895608731,3326.880496661501,vol_weighted,rom_only
0.01,0.2812876953025888,1.004157872667055,2.857899840040294,2246.72292115347,vol_weighted,rom_only
0.015,0.2544818337089776,1.994439355887061,2.681989838211994,3083.150175384482,vol_weighted,rom_only
0.02,0.2279733731064158,1.890793586578661,2.461910379977067,2591.54308489043,vol_weighted,rom_only
0.025,1.376556893674664,6.378735002836089,15.13585037933761,7925.511269376594,vol_weighted,rom_only
0.03,1.156946558159974,6.452969078280302,12.88872449557827,7500.51650967103,vol_weighted,rom_only
0.035,1.156590166203143,6.864902656736112,13.00845458754147,7566.097102790307,vol_weighted,rom_only
0.04,1.268977025346383,7.292962358256743,14.37113734475236,7717.314633008325,vol_weighted,rom_only
0.045,1.142636912745422,7.015341045874437,13.00430811943147,7203.091512999153,vol_weighted,rom_only
0.05,1.300801045479651,7.485022319956417,14.85690814858963,7522.079174662682,vol_weighted,rom_only
0.055,1.228295919897402,7.594524024842051,14.06497566918239,7519.342432028725,vol_weighted,rom_only
0.06,1.191304077982771,7.841305662862572,13.66746015159043,7685.230012237053,vol_weighted,rom_only
0.065,1.193515530953095,7.758956976254788,13.71277498769905,7553.17307409143,vol_weighted,rom_only
0.07,1.211109116777292,7.902006652698153,13.93079613549644,7657.518113137674,vol_weighted,rom_only
0.075,1.19699357232481,7.961900642110868,13.78114888490598,7692.107652915104,vol_weighted,rom_only
0.08,1.187640185836465,7.988025096183488,13.68393656524458,7701.202989869374,vol_weighted,rom_only
0.085,1.201193139957018,7.918516744660616,13.84913790422903,7623.496649009154,vol_weighted,rom_only
0.09,1.098290739824173,7.424225599319653,12.6699217114985,7140.57721759702,vol_weighted,rom_only
0.095,1.302613271374042,7.871696372535315,15.03455932635204,7565.780891803009,vol_weighted,rom_only
0.1,1.193858858993297,7.79650013380378,13.78555740845881,7489.714107596333,vol_weighted,rom_only
0.105,1.203579900026046,8.023847777468726,13.90351596663808,7705.227060788604,vol_weighted,rom_only
0.11,1.204363087668813,7.88239746131419,13.91778575561601,7567.065157993082,vol_weighted,rom_only
0.115,1.189347976488648,7.968338256480005,13.74903294554955,7647.904130077468,vol_weighted,rom_only
0.12,1.205757783556992,8.022996306475482,13.94321441753812,7698.972294231656,vol_weighted,rom_only
0.125,1.195261638552266,8.031672279802599,13.82597010282972,7706.180669431678,vol_weighted,rom_only
0.13,1.185262079963447,7.942583671096647,13.71413853033878,7619.766162975018,vol_weighted,rom_only
0.135,1.087027588131052,7.440783446976461,12.58081087601012,7137.656012719521,vol_weighted,rom_only
0.14,1.303723052078055,7.890177428477755,15.09247945314283,7568.080141632796,vol_weighted,rom_only
0.145,1.181376640933328,7.80710678408734,13.67932971317669,7487.858969249895,vol_weighted,rom_only
0.15,1.20895014754557,8.035841178042542,14.00169575367579,7706.728389453321,vol_weighted,rom_only
0.155,1.209374256798052,7.892016464503959,14.00953469568899,7568.337024033654,vol_weighted,rom_only
0.16,1.1790285664531,7.974273513474954,13.66070864038851,7646.845300298843,vol_weighted,rom_only
0.165,1.21015311154018,8.030022487310182,14.02396913725896,7699.8969375099,vol_weighted,rom_only
0.17,1.199197188587253,8.037733495990775,13.89948834251483,7706.987926935955,vol_weighted,rom_only
0.175,1.176580393996147,7.946311346650212,13.63966785504918,7619.05613570785,vol_weighted,rom_only
0.18,1.080673699316778,7.443767096204473,12.52990313529144,7136.97498805924,vol_weighted,rom_only
0.185,1.304187865892835,7.894234354615642,15.12379491098583,7568.659681615398,vol_weighted,rom_only
0.19,1.17403618676611,7.809620709552388,13.61654280096004,7487.334749967997,vol_weighted,rom_only
0.195,1.212045868773816,8.03912178404091,14.05938463883938,7707.188567981344,vol_weighted,rom_only
0.2,1.212309167154843,7.894897169568361,14.06436731925199,7568.761210783265,vol_weighted,rom_only
0.205,1.172582049794103,7.976105524855345,13.60526600468564,7646.471492824419,vol_weighted,rom_only
0.21,1.212799923503327,8.032319317763584,14.07368134705714,7700.232084660088,vol_weighted,rom_only
0.215,1.201631755265551,8.039802574573647,13.94577864426815,7707.292261343665,vol_weighted,rom_only
0.22,1.170927204494423,7.9475797481141,13.59102129221218,7618.778884098911,vol_weighted,rom_only
0.225,1.07644804185464,7.44478829624009,12.49580387451602,7136.69519014038,vol_weighted,rom_only
0.23,1.304372276730874,7.895742901697964,15.14327389104195,7568.89726060035,vol_weighted,rom_only
0.235,1.169102008925973,7.810514845695739,13.57426278316768,7487.11807844032,vol_weighted,rom_only
0.24,1.214026300668349,8.040371741850571,14.09729690317039,7707.38241953425,vol_weighted,rom_only
0.245,1.214200944883128,7.896019938400918,14.10070045787768,7568.944054324713,vol_weighted,rom_only
0.25,1.168129334484735,7.976791526141321,13.56694493621397,7646.309469093717,vol_weighted,rom_only
0.255,1.214528821555408,8.033258606228568,14.10712442298937,7700.382939742832,vol_weighted,rom_only
0.26,1.203271349991741,8.040663661998005,13.97759668807821,7707.431736744537,vol_weighted,rom_only
0.265,1.166937174446582,7.948089547092202,13.55668823193239,7618.64973187106,vol_weighted,rom_only
0.27,1.073419801795923,7.445192682287749,12.47129647859015,7136.56025087957,vol_weighted,rom_only
0.275,1.304423200787387,7.896382134182009,15.15637530478995,7569.009371564278,vol_weighted,rom_only
0.28,1.165544798062221,7.810873728910606,13.54376849116775,7487.014839146696,vol_weighted,rom_only
0.285,1.215364415855657,8.040899405847359,14.12374033182581,7707.474759728951,vol_weighted,rom_only
0.29,1.215485091233004,7.89649632559393,14.12617603449883,7569.031845104754,vol_weighted,rom_only
0.295,1.16487637746055,7.977062743026719,13.53896855973972,7646.231421236885,vol_weighted,rom_only
0.3,1.215712708242626,8.033656857734893,14.13079529747528,7700.456192564799,vol_weighted,rom_only
0.305,1.20443426955816,8.041030076960741,14.000634353981,7707.499937045746,vol_weighted,rom_only
0.31,1.163981371596909,7.94828783961624,13.53127844472748,7618.586501199251,vol_weighted,rom_only
0.315,1.071150894194455,7.44534557550503,12.45291017368108,7136.491425644717,vol_weighted,rom_only
0.32,1.304407736876748,7.896653466958585,15.16562046134513,7569.064843897765,vol_weighted,rom_only
0.325,1.162865300205936,7.811010504624469,13.52079090616557,7486.963382909576,vol_weighted,rom_only
0.33,1.216299618081409,8.041128110046568,14.1429001919867,7707.521624586588,vol_weighted,rom_only
0.335,1.216385250206737,7.896699714970875,14.14469603293486,7569.076185555055,vol_weighted,rom_only
0.34,1.162411308541004,7.977162195108773,13.51779811864666,7646.192181849134,vol_weighted,rom_only
0.345,1.21654726834783,8.033822715756111,14.14811009158125,7700.493356991271,vol_weighted,rom_only
0.35,1.205287116728215,8.041173602370295,14.01788755827209,7707.533673559582,vol_weighted,rom_only
0.355,1.161719343271468,7.948349425933574,13.51186676254889,7618.555345558117,vol_weighted,rom_only
0.36,1.069400032245506,7.44538485394793,12.43872098254005,7136.456002810505,vol_weighted,rom_only
0.365,1.30435887733488,7.896754286057002,15.1723742028899,7569.092340754909,vol_weighted,rom_only
0.37,1.160786789239621,7.811044532852836,13.50296960475471,7486.938136246833,vol_weighted,rom_only
0.375,1.216968613401326,8.041203924813496,14.15715686224585,7707.544205815078,vol_weighted,rom_only
0.38,1.217030665358619,7.8967666728688,14.15850687058317,7569.097764285385,vol_weighted,rom_only
0.385,1.160494450412028,7.977180894216841,13.5013727250097,7646.17315578704,vol_weighted,rom_only
0.39,1.217148133359936,8.033873285976208,14.16108972983551,7700.511358540042,vol_weighted,rom_only
0.395,1.205927979536174,8.041216679987691,14.03113129067282,7707.550274690914,vol_weighted,rom_only
0.4,1.159950443590634,7.948354995109897,13.49671803682956,7618.539690721595,vol_weighted,rom_only
0.405,1.068021521220955,7.445380976201931,12.42756313709867,7136.437144258098,vol_weighted,rom_only
0.41,1.304294807915725,7.896742651605921,15.17743265448965,7569.101914750027,vol_weighted,rom_only
0.415,1.159142761308622,7.811023987463932,13.48887692728325,7486.927671758146,vol_weighted,rom_only
0.42,1.217455760956619,8.041198874257082,14.16798330628233,7707.553286023418,vol_weighted,rom_only
0.425,1.21750130569928,7.896758037055333,14.1690170201641,7569.106232724127,vol_weighted,rom_only
0.43,1.158978600046317,7.977152538898492,13.48841316176087,7646.166147782097,vol_weighted,rom_only
0.435,1.217587741771236,8.033852591980949,14.1710036307476,7700.51752779532,vol_weighted,rom_only
0.44,1.206418987385899,8.041191851267941,14.04148165922631,7707.555620830398,vol_weighted,rom_only
0.445,1.158544175860367,7.94831985650792,13.48470574241403,7618.534734042014,vol_weighted,rom_only
0.45,1.066922169186708,7.445341615449103,12.41868092096926,7136.429836998162,vol_weighted,rom_only
0.455,1.304225841682806,7.896746984279273,15.18129682991899,7569.109318371752,vol_weighted,rom_only
0.46,1.157824375419688,7.810997612256822,13.47758100716687,7486.922883446087,vol_weighted,rom_only
0.465,1.217815825036884,8.041180213792726,14.17632658740641,7707.557563148308,vol_weighted,rom_only
0.47,1.217849709628989,7.896735927885661,14.17713047571945,7569.109844727463,vol_weighted,rom_only
0.475,1.157765737069606,7.977122427323342,13.47806523763719,7646.16312321451,vol_weighted,rom_only
0.48,1.217914181682461,8.033831170461692,14.17867238607896,7700.52075877891,vol_weighted,rom_only
0.485,1.206801139200792,8.041171439191224,14.0496758478894,7707.558711312217,vol_weighted,rom_only
0.49,1.157415786943757,7.948287472619215,13.47508476702898,7618.532666853521,vol_weighted,rom_only
0.495,1.066038527753177,7.445309797980716,12.41155437056385,7136.426102711726,vol_weighted,rom_only
0.5,1.304157996222046,7.896720897039543,15.18428438352226,7569.11096990758,vol_weighted,rom_only
0.505,1.156758457974031,7.810969518296419,13.46844692907417,7486.921253210002,vol_weighted,rom_only
0.51,1.218084735948433,8.041155050645626,14.18282871985437,7707.559014179476,vol_weighted,rom_only
0.515,1.218110281650162,7.896712428834527,14.18345784694728,7569.111201532105,vol_weighted,rom_only
0.52,1.156787333846789,7.977092918420011,13.46973329112224,7646.162652803272,vol_weighted,rom_only
0.525,1.218158817312937,8.033804080511549,14.18466926948306,7700.521416607009,vol_weighted,rom_only
0.53,1.207101779199845,8.041141738623436,14.0562257425991,7707.558853719917,vol_weighted,rom_only
0.535,1.156504416862288,7.948261229597759,13.46732715181328,7618.532276029716,vol_weighted,rom_only
0.54,1.06532379950318,7.445283904067339,12.40580603193237,7136.424496769082,vol_weighted,rom_only
0.545,1.304094236379987,7.896690916184276,15.18662146343752,7569.110550176681,vol_weighted,rom_only
