# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	min(p)
0             	0.000000e+00
0.05          	4.798025e-03
0.1           	-1.598656e+00
0.15          	-2.270932e+00
0.2           	-2.588084e+00
0.25          	-2.740939e+00
0.3           	-2.820748e+00
0.35          	-2.864414e+00
0.4           	-2.888633e+00
0.45          	-2.901868e+00
0.5           	-2.908531e+00
0.55          	-2.911174e+00
0.6           	-2.911542e+00
0.65          	-2.910390e+00
0.7           	-2.908554e+00
0.75          	-2.906342e+00
0.8           	-2.903942e+00
0.85          	-2.901541e+00
0.9           	-2.899314e+00
0.95          	-2.897169e+00
1             	-2.895201e+00
